"LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13","LOSS Ganeshalingam13"
pgc,SNIa,1PGC,Nest,RA,Dec,z3k,B,eB,x1,ex1,c,ec,mu,emu,Sample,Ref
%7s,%9s,%7d,%6d,%11s,%11s,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5s,%2d
---,,,,hms,dms,,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Supernova identification","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Right ascension J2000","Declination J2000","Redshift in CMB frame","B magnitude at maximum","Error in B magnitude at maximum","SALT2 light curve width x1 parameter","Error in SALT2 x1 parameter","SALT2 color c parameter","Error in SALT2 c parameter","Distance modulus","Error in distance modulus","LOSS sample","LOSS reference code"
47913,"SN 2000ca",47907,108921,"13 35 22.98","-34 09 37.0",0.025,15.565,0.029,0.458,0.095,-0.102,0.027,35.014,0.164,Low-z,9
48128,"SN 2004bk",48189,100369,"13 37 28.72","+04 06 11.3",0.024,15.792,0.036,0.415,0.088,-0.001,0.028,34.917,0.164,Low-z,2
49090,"SN 2005al",49025,100011,"13 50 00.33","-30 34 34.2",0.013,14.848,0.022,-1.174,0.044,-0.093,0.024,34.033,0.212,Low-z,3
49153,"SN 1996C",0,0,"13 50 48.60","+49 19 07.1",0.028,16.627,0.034,0.603,0.140,0.054,0.030,35.603,0.163,Low-z,8
49304,"SN 1993H",49304,101620,"13 52 50.34","-30 42 23.3",0.025,16.671,0.037,-1.943,0.087,0.102,0.030,35.126,0.166,Low-z,6
50323,"99cp 02cr",50323,101135,"14 06 37.59","-05 26 21.9",0.010,14.178,0.020,-0.601,0.040,-0.047,0.019,33.209,0.246,Low-z,2
51473,"SN 2002bz",51391,100497,"14 24 40.52","+26 37 34.7",0.038,16.909,0.089,-1.088,0.225,-0.134,0.047,36.235,0.171,Low-z,5
52251,"SN 2005bc",52251,111722,"14 37 15.05","+38 27 23.1",0.013,16.236,0.022,-1.652,0.117,0.348,0.022,33.954,0.216,Low-z,2
52283,"SN 2001ck",0,0,"14 37 50.08","+30 29 02.2",0.035,16.726,0.029,-0.025,0.108,-0.057,0.028,35.964,0.151,Low-z,2
53387,"SN 2007O",53455,100996,"14 56 05.18","+45 24 16.9",0.037,16.794,0.038,-0.436,0.116,-0.051,0.031,35.953,0.153,Low-z,5
