"Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa","Constitution SNIa"
pgc,SNIa,zcmb,ez,S_Bmag,S_eB,S_s,S_es,S_c,S_ec,S_mu0,S_emu0,S2_Bmag,S2_eB,S2_s,S2_es,S2_c,S2_ec,S2_mu0,S2_emu0,M31_Del,M31_eD,M31_AV,M31_eAV,M31_mu0,M31_emu0,M17_Del,M17_eD,M17_AV,M17_eAV,M17_mu0,M17_emu0
%7s,%6s,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%6.3f,%5.3f
---,,,,mag,mag,,,,,mag,mag,mag,mag,,,,,mag,mag,,,mag,mag,mag,mag,,,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Supernova name","Supernova redshift in CMB frame","Error in supernova redshift","SALT: Apparent B magnitude","SALT: Error in B magnitude","SALT: Light curve stretch parameter","SALT: Error in stretch parameter","SALT: Color parameter","SALT: Error in color parameter","SALT: Distance modulus + 5 log H0/65","SALT: Error in distance modulus","SALT2: Apparent B magnitude","SALT2: Error in B magnitude","SALT2: Light curve stretch parameter","SALT2: Error in stretch parameter","SALT2: Color parameter","SALT2: Error in color parameter","SALT2: Distance modulus + 5 log H0/65","SALT2: Error in distance modulus","MLCS31: Light curve shape parameter","MLCS31: Error in light curve shape parameter","MLCS31: Host galaxy extinction parameter in V band","MLCS31: Error in extinction parameter","MLCS31: Distance modulus + 5 log H0/65","MLCS31: Error in distance modulus","MLCS17: Light curve shape parameter","MLCS17: Error in light curve shape parameter","MLCS17: Host galaxy extinction parameter in V band","MLCS17: Error in extinction parameter","MLCS17: Distance modulus + 5 log H0/65","MLCS17: Error in distance modulus"
20602,sn03ch,0.030,0.001,16.656,0.138,0.807,0.010,0.022,0.006,35.826,0.169,16.654,0.017,-1.630,0.213,0.019,0.017,35.879,0.192,0.160,0.107,0.102,0.076,35.970,0.161,0.063,0.101,0.039,0.031,35.984,0.158
21020,sn97do,0.011,0.001,,,,,,,,,14.322,0.025,-0.212,0.252,0.135,0.017,33.408,0.309,-0.162,0.081,0.371,0.102,33.560,0.297,-0.191,0.081,0.262,0.061,33.580,0.289
21767,sn07R,0.031,0.001,,,,,,,,,16.629,0.043,-1.825,0.166,-0.061,0.025,36.032,0.201,0.204,0.075,0.074,0.056,35.968,0.155,0.189,0.086,0.027,0.026,35.877,0.162
22031,sn95E,0.012,0.001,,,,,,,,,,,,,,,,,,,,,,,-0.093,0.066,1.460,0.064,33.888,0.265
22428,sn06qo,0.030,0.001,16.790,0.138,0.984,0.005,0.188,0.006,35.746,0.168,16.792,0.014,0.199,0.089,0.220,0.012,35.712,0.187,-0.163,0.041,0.745,0.112,35.528,0.173,-0.182,0.055,0.453,0.063,35.696,0.156
22695,2000ce,0.017,0.001,,,,,,,,,17.008,0.022,0.613,0.179,0.579,0.017,35.081,0.237,,,,,,,-0.251,0.074,1.177,0.078,34.895,0.213
22976,2006te,0.032,0.001,16.502,0.138,0.916,0.004,-0.052,0.009,35.996,0.166,16.576,0.012,-0.701,0.093,-0.017,0.012,35.986,0.184,-0.058,0.054,0.097,0.070,36.052,0.152,-0.073,0.069,0.037,0.031,35.992,0.155
23371,sn02he,0.025,0.001,16.230,0.139,0.778,0.008,0.042,0.007,35.311,0.181,16.231,0.039,-2.118,0.268,0.012,0.026,35.424,0.210,0.493,0.114,0.072,0.061,35.286,0.196,0.423,0.102,0.031,0.026,35.249,0.192
23700,sn05mc,0.026,0.001,17.184,0.138,0.622,0.006,0.256,0.005,35.518,0.176,17.236,0.018,-3.041,0.242,0.309,0.017,35.597,0.199,0.888,0.080,0.367,0.151,35.361,0.170,0.935,0.071,0.077,0.051,35.429,0.159
23725,sn99aa,0.015,0.001,,,,,,,,,14.694,0.009,0.981,0.073,-0.015,0.009,34.277,0.242,-0.277,0.028,0.024,0.025,34.462,0.203,-0.346,0.032,0.025,0.021,34.425,0.206
23918,sn07bd,0.032,0.001,16.520,0.138,0.791,0.003,-0.004,0.004,35.736,0.164,16.539,0.015,-1.818,0.153,-0.002,0.016,35.798,0.187,0.284,0.084,0.089,0.077,35.837,0.161,0.290,0.097,0.043,0.033,35.715,0.166
24288,sn99gd,0.019,0.001,16.940,0.274,0.920,0.030,0.430,0.010,35.192,0.313,16.915,0.030,-1.114,0.226,0.460,0.021,35.102,0.224,-0.004,0.073,1.452,0.112,34.526,0.209,-0.009,0.083,0.842,0.066,34.969,0.196
24788,2005ms,0.026,0.001,16.185,0.138,0.994,0.005,0.059,0.003,35.489,0.176,16.107,0.011,-0.052,0.091,0.012,0.010,35.514,0.194,-0.134,0.045,0.118,0.067,35.674,0.157,-0.159,0.052,0.070,0.040,35.618,0.157
24988,2002hd,0.036,0.001,16.586,0.142,0.860,0.019,0.047,0.011,35.757,0.167,16.709,0.016,-0.776,0.439,0.092,0.015,35.843,0.187,0.131,0.143,0.235,0.144,35.820,0.202,0.137,0.132,0.145,0.081,35.797,0.167
25794,sn01G,0.017,0.001,,,,,,,,,,,,,,,,,-0.129,0.069,0.063,0.055,34.524,0.198,-0.195,0.073,0.050,0.035,34.481,0.202
27437,sn01fe,0.014,0.001,,,,,,,,,14.636,0.017,0.360,0.136,0.015,0.015,34.078,0.254,-0.141,0.054,0.168,0.086,34.124,0.234,-0.169,0.067,0.099,0.049,34.102,0.230
27509,sn03D,0.024,0.001,,,,,,,,,,,,,,,,,1.101,0.149,0.540,0.228,34.883,0.220,1.121,0.138,0.215,0.128,34.984,0.186
