"Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa","Stahl SNIa"
pgc,1PGC,Nest,SNIa,DM,eDM,Vcmb,Vrc3,J2000,RA,De,Glon,Glat,SGL,SGB,Ty,Ag,SSubsamp
%7s,%7d,%6d,%29s,%5.2f,%4.2f,%5d,%5d,%16s,%10.6f,%10.6f,%8.4f,%8.4f,%8.4f,%8.4f,%4s,%5.3f,%10s
---,,,,mag,mag,km/s,km/s,"hms,dds",deg,deg,deg,deg,deg,deg,,mag,
"The Catalogue of Principal Galaxies (PGC) Number","PGC ID of dominant group member","Nest ID in 2MASS group catalog by Tully(2015)","Supernova identification","Distance modulus","Error in distance modulus","Velocity of supernova in CMB frame","Heliocentric velocity of supernova host from RC3","J2000 right ascension and declination of host","Right ascension (J2000) of SNII in degrees","Declination (J2000) of SNII in degrees","Galactic Longitude of host","Galactic Latitude of host","Supergalactic Longitude of host","Supergalactic Latitude of host","Type code given in RC3","Extinction at B band from RC3","Subsample in Stahl collection"
13255,13419,200100,sn2005ke,31.71,0.37,1511,1463,J033501.3-245600,53.812800,-24.949600,218.9543,-53.3470,276.8028,-42.4747,1.1,0.113,A1
13297,13297,205178,2007jh,36.20,0.14,12070,12213,J033601.6+010617,54.006400,1.103400,184.2128,-41.3964,310.6779,-38.0747,-5,0.449,CSP
13318,13418,200015,sn1992a,31.33,0.43,1325,1874,J033627.6-345834,54.064800,-34.960100,235.9260,-54.0585,263.2770,-41.7608,-2.3,0.073,A1
13580,13580,207788,sn2006kf,34.74,0.18,6230,6008,J034150.9+080935,55.447100,8.196900,178.5458,-35.7140,319.5335,-36.5532,-2,1.062,A1
13606,13814,200084,2013gy,33.84,0.22,4068,4205,J034216.1-044350,55.570300,-4.721800,191.8542,-43.5795,304.1560,-41.4485,3.1,0.248,LOSS2
13613,13613,200080,2007kk,36.08,0.26,12169,12310,J034224.0+391440,55.596900,39.241800,155.5154,-12.5764,348.8408,-19.0310,3.2,0.989,LOSS2
13727,13727,201169,SN2001el,31.58,0.40,1103,1168,J034431.8-443840,56.127500,-44.639800,251.5220,-51.3942,250.3258,-40.6853,6,0.061,snapshot
13880,14508,100163,SN2014dg,31.26,0.46,1112,1202,J034820.7+700758,57.082400,70.131800,136.9695,12.2462,12.1322,1.7271,5,3.157,snapshot
14075,14075,209403,2009D,35.06,0.13,7390,7510,J035424.7-191125,58.595100,-18.818300,212.2550,-47.4316,284.9611,-46.9006,3.2,0.228,CSP
14956,15005,200760,2016K,35.46,0.14,9183,9228,J042147.6-154520,65.451200,-15.755600,211.0623,-40.1052,291.0009,-53.1820,-2.2,0.142,Foundation
