"Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa","Union2 SNIa"
pgc,objname,J2000,Typ,Imag,logD25,Inc,Vhel,SNIa,Vcmb,mB0,emB0,X1,eX1,C,eC,mu0,emu0,Samp,Cuts
%7s,%10s,%16s,%2d,%5s,%5.3f,%2d,%5d,%6s,%5d,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%5.2f,%4.2f,%3d,%5s
---,,"hms,dms",,mag,0.1arcmin,deg,km/s,,km/s,mag,mag,,,,,mag,mag,,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","RA, Dec; J2000","Morphological T type of host [RC3]","I magnitude of host [RC3]","Log diameter at 25 mag/as^2 blue isophote [RC3]","Inclination from face on [RC3]","Host galaxy Heliocentric velocity","Supernova name","Supernova velocity in CMB","Apparent magnitude in B of SNIa at maximum","Error in SNIa B apparent magnitude at maximum","SALT2 parameter X1","Error in SALT2 parameter X1","SALT2 parameter C","Error in SALT2 parameter C","Union2 distance modulus; 2 SNIa averaged in 4 cases (PGSs 6007, 27351, 48860, 50323)","Error in distance modulus","Sample: 1-17; see Amanullah et al.","Cuts: z=redshift<0.015; o=outlier; d=observations <5; f+bad light curve; p=first phase >6 days after B maximum"
21767,PGC021767,J074637.7+444726,-1,12.98,1.154,70,9257,2007r,9354,16.60,0.07,-1.76,0.16,-0.07,0.02,35.15,0.17,6,
22031,NGC2441,J075154.8+730056,3,,1.296,25,3465,1995e,3508,16.68,0.19,-0.51,0.17,0.84,0.02,33.09,0.25,3,z
22428,UGC04133,J080008.5+562156,6,,1.307,90,8905,2006qo,9234,16.78,0.07,0.31,0.10,0.22,0.01,34.85,0.16,6,
22695,UGC04195,J080506.8+664658,3,,1.187,61,4882,2000ce,4947,17.02,0.14,0.65,0.24,0.61,0.03,34.03,0.15,2,p
22746,ESO494-026,J080611.0-273141,3,9.61,1.611,51,965,2006mq,1199,10.51,0.56,-1.78,0.51,-0.12,0.04,29.06,0.61,6,"p,z"
22976,PGC022976,J081143.5+413318,2,14.38,0.896,45,9465,2006te,9624,16.50,0.08,-0.36,0.18,-0.04,0.02,35.14,0.17,6,
23371,UGC04322,J082001.8+624950,-5,,1.155,90,7364,2002he,7435,16.23,0.10,-2.06,0.26,0.01,0.02,34.53,0.18,6,
23700,UGC04414,J082706.0+213843,0,,0.998,26,7566,2005mc,7795,17.23,0.09,-3.10,0.27,0.32,0.02,34.63,0.18,6,
23725,NGC2595,J082742.0+212845,5,11.28,1.220,49,4333,1999aa,4497,14.69,0.15,0.91,0.10,-0.02,0.01,33.43,0.16,5,
23918,UGC04455,J083132.9-011152,1,12.95,0.920,40,9267,2007bd,9594,16.55,0.07,-1.78,0.16,0.03,0.02,34.85,0.17,6,
24002,UGC04468,J083330.7+413132,-2,12.88,1.308,90,7563,2006bb,7735,16.10,0.12,-2.67,0.33,-0.11,0.06,34.51,0.18,6,p
24288,NGC2623,J083824.1+254515,3,16.11,0.875,83,5540,1999gd,5786,16.91,0.12,-1.08,0.27,0.46,0.02,34.20,0.24,4,
24788,UGC04614,J084916.4+360711,2,13.73,0.844,23,7559,2005ms,7765,16.11,0.09,0.18,0.12,0.01,0.01,34.68,0.17,6,
24988,PGC024988,J085404.7-071100,-2,12.10,1.076,60,9127,2002hd,10793,16.70,0.07,-0.81,0.50,0.10,0.02,34.95,0.17,6,
25005,PGC025005,J085431.8+363035,-2,14.42,0.693,23,7539,1999x,7735,16.23,0.14,-0.86,0.54,0.06,0.04,34.43,0.23,4,p
25794,PGC025794,J090933.0+501654,2,14.42,0.902,79,5024,2001g,5187,14.91,0.14,-0.08,0.36,-0.02,0.05,33.52,0.21,6,
26151,NGC2811,J091611.1-161846,1,10.00,1.485,85,2356,2005am,2698,13.62,0.24,-2.41,0.23,0.10,0.03,31.66,0.29,6,z
27351,NGC2935,J093644.9-210741,3,9.94,1.624,43,2274,96z3du,2578,14.24,0.25,-0.39,0.38,0.32,0.02,32.04,0.23,36,z
27404,NGC2930,J093732.7+231211,3,14.42,0.697,69,7377,2005m,6895,14.11,0.20,-0.58,1.74,-0.05,0.17,32.63,0.78,6,"p,d"
27437,UGC05129,J093758.0+252941,1,13.02,1.069,65,4060,2001fe,4347,14.63,0.15,0.41,0.18,0.03,0.02,33.19,0.21,6,z
28061,PGC028061,J094634.7+303911,3,,0.937,54,9883,2003kc,10223,17.11,0.08,-1.26,0.27,0.17,0.03,35.11,0.17,6,
28081,UGC05234,J094649.5+160234,6,,1.106,48,6016,2003w,6326,15.84,0.10,-0.25,0.11,0.19,0.01,33.92,0.18,6,
28357,NGC3021,J095057.1+333312,4,11.16,1.133,56,1540,1995al,1499,13.29,0.43,0.64,0.19,0.15,0.02,31.58,0.46,3,z
28838,IC0582,J095900.2+174902,5,13.45,0.989,22,7714,2001gb,8035,16.44,0.14,-0.71,0.40,0.09,0.07,34.59,0.20,6,p
28949,UGC05378,J100032.0+042426,3,13.63,0.987,64,4164,2007s,4497,15.78,0.15,1.09,0.12,0.45,0.01,33.36,0.21,6,
29306,PGC029306,J100544.5+101636,0,13.72,0.928,69,7190,2004ap,7525,16.87,0.37,2.54,1.74,0.47,0.11,34.47,0.30,6,p
29855,NGC3169,J101414.8+032759,1,8.22,1.637,57,1240,2003cg,1589,15.64,0.41,-0.63,0.13,1.16,0.01,31.25,0.44,6,z
29953,PGC029953,J101542.3+554003,3,13.29,1.014,48,7271,2002bf,7465,16.51,0.11,-2.30,0.46,0.30,0.04,34.06,0.19,6,
30019,NGC3147,J101653.7+732403,4,,1.614,30,2814,1997bq,2878,14.42,0.23,-0.81,0.14,0.20,0.02,32.41,0.31,4,z
30027,UGC05542,J101653.0+601706,-5,13.21,0.917,38,9212,2001ie,9354,16.56,0.09,-1.26,0.23,0.04,0.03,34.89,0.17,6,
30083,NGC3190,J101806.3+214958,1,11.38,1.561,90,1323,2002bo,1589,13.91,0.41,-0.75,0.12,0.44,0.02,31.29,0.44,6,z
30719,PGC030719,J102704.0+160105,5,,0.825,29,9678,2004l,10013,17.34,0.08,-1.04,0.26,0.26,0.03,35.13,0.17,6,
30908,UGC05691,J102927.5+220029,3,14.18,0.987,40,16325,1991s,16819,17.71,0.07,0.24,0.23,0.02,0.03,36.17,0.15,1,p
31552,PGC031552,J103732.0+650106,3,14.56,0.897,72,6741,2006ar,6865,16.44,0.10,-0.76,0.30,0.19,0.01,34.46,0.18,6,
31729,NGC3327,J103957.9+240529,3,12.68,1.101,49,6300,2001n,6626,16.51,0.10,-0.44,0.27,0.35,0.02,34.16,0.18,6,
31768,NGC3332,J104028.4+091057,-3,12.15,1.138,39,5874,2005ki,6116,15.55,0.11,-2.06,0.16,-0.04,0.03,33.99,0.19,6,
32207,NGC3370,J104704.0+171625,5,11.11,1.387,56,1281,1994ae,1289,13.08,0.51,0.21,0.10,0.12,0.01,31.39,0.53,3,z
32729,UGC06015,J105402.4+460141,6,13.78,0.902,38,12456,2006cf,12682,17.05,0.06,-0.66,0.32,-0.04,0.02,35.66,0.16,6,
33914,UGC06211,J111030.3+551012,4,14.15,0.937,26,17315,2001ah,17478,17.63,0.06,1.35,0.67,0.03,0.02,36.30,0.20,6,
34630,UGC06332,J111916.6+204849,1,12.71,1.064,35,6240,2007bc,6566,15.86,0.10,-1.69,0.18,0.05,0.02,34.11,0.18,6,
34763,UGC06363,J112100.3+212015,6,13.73,1.097,82,6288,2004bg,6626,15.46,0.10,0.35,0.18,-0.04,0.02,34.19,0.18,6,
35006,NGC3663,J112359.9-121747,4,11.53,1.297,45,5038,2006ax,5396,15.01,0.12,0.01,0.07,-0.03,0.01,33.67,0.19,6,
35088,NGC3672,J112502.5-094743,5,10.22,1.463,56,1864,2007bm,2219,14.45,0.29,-0.81,0.09,0.52,0.01,31.62,0.33,6,z
36028,ESO439-018,J113800.5-321929,4,12.36,1.104,38,8861,2001ba,9144,16.19,0.07,0.00,0.14,-0.04,0.01,34.87,0.09,2,
36670,NGC3873,J114546.1+194626,-5,12.42,1.055,28,5413,2007ci,5756,15.89,0.12,-3.20,0.23,0.13,0.03,33.75,0.19,6,
36832,NGC3891,J114803.3+302134,4,11.90,1.235,43,6285,2006or,6506,17.01,0.13,-1.55,0.41,0.41,0.06,34.25,0.20,6,p
37502,NGC3978,J115610.3+603121,4,12.43,1.198,23,9962,2003cq,10103,17.20,0.08,-0.98,0.25,0.22,0.04,35.10,0.17,6,
37591,NGC3987,J115720.9+251143,3,12.41,1.435,90,4499,2001v,4797,14.54,0.14,0.77,0.14,0.05,0.02,33.09,0.20,6,
37969,NGC4039,J120153.6-185311,9,9.44,1.729,71,1628,2007sr,2009,12.69,0.33,0.06,0.11,0.14,0.01,30.92,0.36,6,z
38156,NGC4065,J120406.2+201406,-5,12.36,1.112,61,6335,2008bf,7525,15.68,0.09,0.25,0.12,0.03,0.01,34.21,0.17,6,
38887,NGC4172,J121214.9+561039,3,12.55,1.090,20,9304,2006az,9444,16.44,0.07,-1.65,0.09,-0.04,0.01,34.92,0.16,6,
39640,UGC07357,J121913.4+222553,5,13.93,0.962,48,6682,2006cp,6985,15.97,0.09,-0.07,0.11,0.16,0.01,34.14,0.18,6,
39920,ESO573-014,J122115.8-215945,6,14.17,0.834,54,6855,2000bh,7195,15.92,0.10,-0.55,0.17,0.08,0.03,34.24,0.11,2,
40153,NGC4321,J122254.7+154919,4,11.02,1.785,30,1574,2006x,1889,15.20,0.34,-0.27,0.06,1.36,0.01,30.34,0.37,6,z
41409,NGC4493,J123108.4+003649,-4,12.89,1.182,90,6937,1994m,7285,16.27,0.09,-1.74,0.18,0.11,0.02,34.37,0.18,3,
41438,NGC4495,J123122.9+290811,2,12.90,1.128,71,4550,1994s,4557,14.76,0.14,0.23,0.27,0.00,0.02,33.37,0.22,3,
41517,NGC4501,J123159.3+142513,3,8.36,1.937,61,2282,1999cl,2608,14.81,0.25,-0.36,0.20,1.20,0.01,30.35,0.26,2,z
41748,NGC4520,J123349.9-072232,-3,12.43,0.900,77,7647,2000bk,7975,16.61,0.13,-2.72,0.24,0.05,0.06,34.63,0.12,2,p
42594,NGC4619,J124144.5+350343,3,12.56,1.138,15,6939,2006ac,7165,16.14,0.09,-1.08,0.12,0.12,0.01,34.30,0.17,6,
42635,IC0807,J124212.5-172413,-3,12.46,1.052,69,10946,2007cp,11302,17.17,0.08,-3.68,1.30,0.10,0.06,35.06,0.29,6,
