"Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa","Jha SNIa"
pgc,objname,SNIa,Glon,Glat,Vhel,Vlg,Vcmb,Typ,OffN,OffE,t1,Filt,E_B-V,Ref,t0,et0,mu0,emu0,Delta,eDel,AV0,eAV0,RV,eRV,mV0,emV0,Notes
%7s,%8s,%6s,%6.2f,%6.2f,%5d,%5d,%5d,%6s,%7.1f,%6.1f,%6.1f,%5s,%6.3f,%14s,%8.2f,%4.2f,%6.3f,%5.3f,%6.3f,%5.3f,%5.3f,%5.3f,%4.2f,%4.2f,%6.3f,%5.3f,%7s
---,,,deg,deg,km/s,km/s,km/s,,arcsec,arcsec,days,,mag,,HJD,days,mag,mag,,,mag,mag,,,mag,mag,
"The Catalogue of Principal Galaxies (PGC) Number","Galaxy name","Supernova name","Galactic longitude","Galactic latitude","Host galaxy Heliocentric velocity","Host galaxy velocity in Local Group frame","Host galaxy velocity in CMB","Morphological type of host","Dec offset of SN from host nucleus; North positive","RA offset of SN from host nucleus; East positive","Epoch of first photometric observation relative to B max light; SN rest frame",Filters,"Foreground reddening; Schlegel et al. (1998)","References in Table 1 of Jha et al. (2007)","Epoch of maximum light in B","Error in epoch of maximum light in B","True distance modulus + 5 log H0/65","Error in distance modulus","Luminosity/light-curve shape parameter","Error in luminosity/light-curve shape parameter","Host galaxy extinction in V band","Error in host galaxy extinction in V band","Ratio total to selective absorption AV/E(B-V); standard RV=3.1","Error in ratio total to selective absorption if different from standard","Apparent magnitude in V of SNIa at maximum","Error in SNIa V apparent magnitude at maximum","Notes: HF=Hubble flow sample"
42998,N4675,1997Y,124.77,62.37,4806,4911,4964,Sb,2.0,-8.0,2.2,UBVRI,0.017,21,50486.88,1.37,34.563,0.104,0.060,0.078,0.196,0.087,3.10,,15.058,0.104,HF
43118,N4680,1997bp,301.15,51.21,2492,2301,2831,Sd/Irr,-20.0,-15.0,-2.1,UBVRI,0.044,"10, 21",50548.94,0.52,32.895,0.092,-0.180,0.049,0.537,0.086,2.88,0.31,13.391,0.092,HF
43170,N4679,2001cz,302.11,23.29,4612,4350,4900,Sbc,-31.4,-0.6,-6.3,BVRI,0.092,34,52103.89,0.31,34.294,0.111,-0.078,0.054,0.254,0.116,3.10,,14.790,0.111,HF
43288,N4704,1998ab,124.86,75.19,8134,8181,8354,Sc,12.0,2.0,-7.4,UBVRI,0.017,21,50914.43,0.25,35.213,0.100,-0.118,0.051,0.394,0.082,3.10,,15.709,0.100,HF
45683,E269-57,1992K,306.28,16.30,3087,2828,3340,Sb,-15.4,-1.9,13.6,BVI,0.101,8,48674.37,1.76,33.207,0.153,1.378,0.116,0.223,0.144,3.10,,13.702,0.153,HF
45749,N5005,1996ai,101.58,79.24,873,910,1101,Scd,2.9,23.3,-1.1,UBVRI,0.014,15,50255.21,0.81,31.151,0.187,-0.098,0.068,3.662,0.185,2.09,0.12,11.647,0.187,
45981,C044035,2002cx,318.71,69.14,7184,7085,7494,,-18.0,11.0,-5.3,BVRI,0.032,45,,,,,,,,,,,,,"Bad fit"
46330,N5061,1996X,310.23,35.64,2032,1815,2333,E,-31.7,-51.4,-3.0,UBVRI,0.069,"15, 20",50190.85,0.33,32.432,0.065,0.095,0.048,0.061,0.044,3.10,,12.927,0.065,
46574,E576-40,1997br,311.84,40.32,2085,1884,2391,Sd/Irr,52.0,-21.0,-8.7,UBVRI,0.113,"10, 21, 22",50559.26,0.23,32.248,0.104,-0.303,0.031,0.804,0.112,3.03,0.35,12.743,0.104,
46640,P46640,1994T,318.01,59.83,10396,10265,10709,Sa,-12.0,3.8,0.2,BVRI,0.029,15,49514.54,0.52,36.012,0.112,0.731,0.103,0.093,0.075,3.10,,16.507,0.112,HF
46779,I4232,1991U,311.82,36.20,9503,9292,9801,Sbc,5.8,-2.2,10.4,BVRI,0.062,8,48356.18,1.38,35.612,0.167,-0.096,0.086,0.379,0.187,3.10,,16.108,0.167,HF
46839,E508-67,1992ag,312.48,38.30,7465,7260,7765,Sa,0.0,-3.0,-0.4,BVI,0.097,8,48806.95,0.81,35.247,0.151,0.027,0.077,0.424,0.134,3.10,,15.743,0.151,HF
46957,N5128,1986G,309.54,19.40,547,301,803,S0,-60.0,120.0,-5.7,UBVRI,0.115,5,46561.36,0.24,27.460,0.203,1.054,0.065,2.227,0.224,2.87,0.27,7.956,0.203,
47913,E383-32,2000ca,313.20,27.83,7080,6857,7352,Sbc,4.7,0.6,-2.3,UBVRI,0.067,36,51666.12,0.46,35.250,0.060,-0.125,0.048,0.030,0.024,3.10,,15.746,0.060,HF
48334,N5253,1972E,314.84,30.08,404,190,678,Sd/Irr,-100.0,-38.0,8.7,UBV,0.056,1,41446.64,0.96,27.829,0.110,-0.145,0.062,0.068,0.059,3.10,,8.324,0.110,
48860,N5308,1996bk,111.25,54.88,1985,2139,2085,S0,-9.7,-18.1,3.0,BVRI,0.018,15,50368.46,1.02,32.195,0.142,1.011,0.124,0.711,0.184,3.10,0.38,12.691,0.142,
49153,M+082547,1996C,99.59,65.00,8094,8206,8244,Sa,13.2,-1.8,2.4,BVRI,0.013,15,50128.42,0.90,35.947,0.104,-0.104,0.055,0.136,0.091,3.10,,16.443,0.104,HF
49304,E445-66,1993H,318.22,30.33,7165,6962,7430,Sb,12.3,1.0,-1.1,BVRI,0.060,"8, 10",49068.92,0.46,35.109,0.095,0.904,0.076,0.139,0.086,3.10,,15.605,0.095,HF
50042,N5440,1998D,63.78,72.91,3765,3825,3962,Sa,-7.0,-26.0,32.4,UBVRI,0.015,21,50841.07,2.02,34.089,0.627,0.571,0.482,0.346,0.186,3.10,,14.585,0.627,"Poor fi"
50323,N5468,1999cp,334.85,52.71,2845,2737,3115,Scd,23.0,-52.0,-7.4,BVRI,0.024,28,51363.22,0.26,33.520,0.098,-0.103,0.102,0.072,0.062,3.10,,14.015,0.098,HF
50558,N5490,1997cn,9.14,69.51,4855,4846,5092,E,-12.0,7.0,5.4,UBVRI,0.027,"21, 23",50586.64,0.77,34.532,0.070,1.381,0.046,0.071,0.059,3.10,,15.027,0.070,HF
51549,I4423,2001ay,35.98,68.83,9067,9108,9266,Sb,9.0,-10.0,-3.0,UBVRI,0.019,40,52023.96,0.78,35.926,0.102,-0.405,0.045,0.374,0.098,3.10,,16.422,0.102,HF
52091,U09391,2003du,101.18,53.21,1912,2081,1992,Sd/Irr,-13.5,-8.8,-4.7,BVRI,0.010,42,52765.62,0.50,33.189,0.049,-0.247,0.028,0.037,0.026,3.10,,13.685,0.049,
56286,M+111925,2000cf,99.88,42.16,10920,11137,10930,,4.0,3.0,3.2,UBVRI,0.032,"21, 31",51672.33,0.83,36.382,0.104,-0.006,0.065,0.194,0.097,3.10,,16.878,0.104,HF
56537,I1151,1991M,30.36,45.90,2180,2265,2277,Sc,60.0,36.0,1.8,VRI,0.038,9,48334.98,1.41,33.516,0.179,0.191,0.112,0.269,0.174,3.10,,14.012,0.179,
56812,N6038,1999cc,59.66,48.74,9392,9549,9452,Sc,2.0,17.0,-2.7,UBVRI,0.023,"21, 31",51315.62,0.46,35.859,0.092,0.337,0.097,0.148,0.088,3.10,,16.355,0.092,HF
57205,N6063,1999ac,19.88,39.94,2848,2904,2943,Scd,-30.0,24.0,-14.4,UBVRI,0.046,"21, 27",51250.60,0.17,33.334,0.081,-0.086,0.039,0.308,0.072,3.10,,13.830,0.081,HF
59076,P59076,1994Q,64.38,39.67,8672,8871,8670,S0,-3.7,-0.1,10.8,BVRI,0.017,15,49496.72,1.09,35.759,0.141,-0.140,0.075,0.192,0.121,3.10,,16.255,0.141,HF
