"Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF","Cantiello18 SBF"
pgc,Name,VCC,dist,eD,DM,edm,Vhel,1PGC,Nest,Gp,Ty,RA_DEJ,glon,glat,sgl,sgb,Ag,Area,Rad,uz,euz,gi,egi,gz,egz,Mbar,eMbar
%7s,%7s,%7s,%4.1f,%3.1f,%5.2f,%4.2f,%5d,%7d,%6d,%5s,%4.1f,%16s,%8.4f,%8.4f,%8.4f,%8.4f,%5.3f,%5.2f,%5.1f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.3f,%5.2f,%4.2f
---,,,Mpc,Mpc,mag,mag,km/s,,,,,hmsdms,deg,deg,deg,deg,mag,amin^2,asec,mag,mag,mag,mag,mag,mag,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Common name","Virgo Cluster Catalog ID","Distance (see Cantiello et al. for zero point)","Uncertainty in distance (excluding zero point)","Distance modulus","Error in distance modulus","Heliocentric velocity","PGC ID of dominant group member","Group ID in 2MASS group catalog of Tully (2015)","Group assignment by Cantiello et al.","Morphological type code from RC3","Right ascension, Declination epoch 2000","Galactic longitude","Galactic latitude","Supergalactic longitude","Supergalactic latitude","Galactic obscuration at B band from RC3",Area,Radius,"u*-z color","Uncertainty in u*-z color","g-i color","Uncertainty in g-i color","g-z color","Uncertainty in g-z color","Surface brightnes fluctuation absolute magnitude Mbar","Uncertainty in Mbar"
40816,NGC4425,VCC0984,15.9,1.7,31.00,0.24,1892,41220,100002,V,-0.6,J122713.3+124405,280.2469,74.5300,102.2975,-3.0903,0.125,3.04,53.7,2.285,0.046,0.946,0.018,1.123,0.045,29.79,0.07
40850,NGC4429,VCC1003,16.4,0.6,31.08,0.07,992,41220,100002,V,-0.8,J122726.5+110628,282.3796,73.0148,103.8731,-3.5097,0.143,4.68,61.1,2.766,0.004,1.074,0.002,1.388,0.003,30.38,0.04
40886,NGC4434,VCC1025,21.1,1.1,31.62,0.11,1070,40375,140002,W',-4.7,J122736.7+080916,285.2739,70.2049,106.7211,-4.3169,0.097,2.42,38.1,2.612,0.009,0.976,0.003,1.218,0.009,30.78,0.04
40898,NGC4435,VCC1030,16.8,0.8,31.12,0.10,803,41220,100002,V,-2.1,J122740.5+130444,280.1780,74.8908,101.9998,-2.8850,0.125,1.21,37.5,2.461,0.005,0.975,0.002,1.172,0.005,30.10,0.06
40914,NGC4438,VCC1043,16.5,1.3,31.08,0.18,99,41220,100002,V,0.6,J122745.5+130033,280.3456,74.8329,102.0725,-2.8855,0.120,1.84,77.5,2.398,0.024,0.911,0.011,1.231,0.023,29.99,0.07
40950,NGC4442,VCC1062,14.3,0.5,30.78,0.08,532,41220,100002,V,-1.9,J122803.9+094813,284.1768,71.8191,105.1687,-3.7380,0.095,2.21,46.6,2.654,0.005,1.045,0.002,1.305,0.005,29.98,0.03
41024,NGC4450,VCC1110,16.7,1.1,31.11,0.15,1954,41220,100002,V,2.4,J122829.5+170506,273.9105,78.6420,98.2216,-1.5308,0.121,1.62,80.4,2.508,0.016,0.961,0.004,1.244,0.015,30.14,0.07
41060,NGC4452,VCC1125,15.6,1.7,30.97,0.23,162,41220,100002,V,-1.9,J122843.3+114518,282.7038,73.7281,103.3428,-3.0228,0.129,1.44,36.5,2.305,0.039,0.928,0.006,1.091,0.039,29.77,0.11
41095,NGC4458,VCC1146,16.6,0.9,31.10,0.12,676,41220,100002,V,-4.9,J122857.6+131431,281.0942,75.1522,101.9342,-2.5385,0.101,4.91,53.0,2.415,0.011,0.955,0.004,1.172,0.010,30.04,0.05
41104,NGC4459,VCC1154,15.3,0.5,30.93,0.08,1186,41220,100002,V,-1.6,J122900.0+135843,280.1083,75.8463,101.2313,-2.3159,0.195,2.29,38.3,2.925,0.001,1.094,0.001,1.442,0.001,30.38,0.06
41111,NGC4461,VCC1158,17.2,1.0,31.18,0.13,1925,41220,100002,V,-0.7,J122903.0+131102,281.2518,75.1050,101.9962,-2.5341,0.099,3.07,42.1,2.746,0.004,1.017,0.002,1.256,0.004,30.48,0.11
41164,NGC4469,VCC1190,15.8,1.1,31.00,0.16,582,41220,100002,V,0.3,J122928.0+084500,286.1253,70.9014,106.2796,-3.7074,0.087,0.76,38.6,2.563,0.014,1.003,0.005,1.239,0.014,30.10,0.09
41220,NGC4472,VCC1226,17.5,0.7,31.21,0.09,979,41220,100002,V,-4.8,J122946.7+075959,286.9215,70.1953,107.0225,-3.8466,0.096,15.51,98.0,2.863,0.002,1.058,0.001,1.369,0.002,30.64,0.07
41228,NGC4473,VCC1231,16.7,0.6,31.11,0.07,2353,41220,100002,V,-4.7,J122948.9+132546,281.6167,75.3988,101.8145,-2.2852,0.122,5.11,57.2,2.680,0.004,1.027,0.002,1.302,0.004,30.33,0.03
41241,NGC4474,VCC1242,16.2,1.1,31.05,0.15,1610,41220,100002,V,-1.9,J122953.6+140407,280.8116,76.0065,101.2075,-2.0828,0.181,3.61,55.7,2.322,0.019,0.904,0.009,1.118,0.018,29.86,0.05
41255,NGC4476,VCC1250,16.9,1.1,31.13,0.14,1959,41220,100002,V,-2.9,J122959.1+122055,283.0985,74.3884,102.8625,-2.5563,0.119,0.61,22.2,2.291,0.013,0.904,0.002,1.124,0.013,29.93,0.07
41260,NGC4477,VCC1253,17.4,0.8,31.20,0.10,1358,41220,100002,V,-1.7,J123002.2+133811,281.5446,75.6119,101.6317,-2.1739,0.137,3.66,54.0,2.841,0.003,1.076,0.002,1.368,0.003,30.59,0.08
41297,NGC4478,VCC1279,17.1,0.8,31.16,0.10,1390,41220,100002,V,-4.9,J123017.4+121943,283.3850,74.3922,102.9032,-2.4907,0.104,0.51,24.6,2.615,0.003,1.014,0.001,1.310,0.003,30.32,0.09
41339,NGC4483,VCC1303,15.0,1.1,30.88,0.16,883,41220,100002,V,-1.4,J123040.6+090056,286.8073,71.2346,106.1096,-3.3452,0.085,1.31,37.2,2.560,0.022,0.939,0.006,1.217,0.021,29.98,0.05
