pgc,objname,Modc,1PGC,Nest,al2000,de2000,V_hel,T,GrpID,AgB,VmI,e_VmI,N_VmI,Ibar,e_Ibar,N_Ibar,Mod01,e_Mod,Rav,ratio_in,ratio_out,Qmax,PD,NbarI,Sigma,Qual,icnt,NBG_ID,LH_ID,fil
%7s,%8s,%5.2f,%7d,%6d,%7.3f,%7.3f,%5d,%2d,%3d,%5.2f,%6.3f,%5.3f,%2d,%5.2f,%4.2f,%2d,%5.2f,%4.2f,%5.1f,%5.2f,%5.2f,%4.1f,%5.2f,%5.2f,%5.3f,%4s,%4d,%8s,%4d,%5.1f
---,,mag,,,h,deg,km/s,,,mag,mag,mag,,mag,mag,,mag,mag,arcsec,,,,,,,,,,,
"The Catalogue of Principal Galaxies (PGC) Number","Name used by Tonry et al. (Paper IV)","Distance modulus: adjusted Blakeslee et al. 2010, ApJ 694, 556","PGC ID of dominant group member","Nest ID from 2MASS group catalog of Tully(2015)","Right ascension in decimal degrees epoch 2000","Declination in decimal degrees epoch 2000","Heliocentric velocity","Hubble type","Group ID from Faber et al. 1989, ApJS, 69, 763","Galactic B absorption from Schlegel et al. 1998, ApJ, 500, 525","V-I color at radius contributing to SBF","Uncertainty in V-I color","Number contributing measures","I magnitude assoc w fluctuation power spectrum","Uncertainty in Ibar","Number of contributing measures","Distance modulus: original Tonry et al. 2001","Uncertainty in distance modulus","Mean annular radius (arcsec) contributing to SBF measurement","Ratio innermost/mean radii contributing to SBF","Ratio outermost/mean radii contributing to SBF","Quality Q=log[Ne(mbar)/PD^2; Ne(mbar)=# e- from obj w mag mbar; PD= psf_FWHM x Vcmb/1000","Product (psf_FWHM) x (Vcmb/1000)","Fluctuation star count at I band: Nbar=mbar-mT - difference fluct. and total mags = 2.5log(total lum/lum typical star",,Quality,"Internal group reference number","Nearby Galaxies Catalog (1988) group ID number","Lavaux-Hudson group ID from 2MASS++ catalog","Filament ID from V8k catalog"
13267,N1374,31.45,13418,200015,53.820,-35.226,1475,-5,31,0.06,1.146,0.016,2,29.72,0.10,1,31.48,0.13,37.3,0.20,3.14,4.3,1.00,20.00,2.316,good,843,"51 -1  1",2,51.1
13281,E358-025,31.28,13281,200015,53.889,-32.465,1431,-3,31,0.04,1.034,0.018,1,28.99,0.24,1,31.25,0.26,23.0,0.66,1.31,2.4,2.07,16.77,0.000,good,843,"51 -1  1",2,51.1
13299,N1379,31.48,13418,200015,54.014,-35.441,1363,-5,31,0.05,1.143,0.019,1,29.74,0.11,1,31.51,0.15,41.3,0.18,2.84,4.2,1.00,19.77,2.114,good,843,"51 -1  1",2,51.1
13318,N1380,31.31,13418,200015,54.112,-34.976,1855,-2,31,0.08,1.197,0.019,1,29.70,0.15,2,31.23,0.18,49.3,0.31,2.44,0.8,2.67,20.77,2.380,good,843,"51 -1  1",,51.1
13321,N1381,31.29,13418,200015,54.131,-35.294,1729,-2,31,0.06,1.189,0.018,1,29.71,0.19,1,31.28,0.21,24.1,0.61,1.22,3.1,1.16,19.44,2.212,good,843,"51 -1  1",4588,51.1
13333,N1386,31.03,13418,200015,54.193,-35.999,907,-1,31,0.05,1.101,0.018,1,29.13,0.23,1,31.09,0.25,46.2,0.65,1.31,5.3,1.26,19.09,2.215,good,843,"51 -1  1",2,51.1
13335,N1380A,31.04,13418,200015,54.197,-34.739,1545,-2,31,0.06,1.138,0.018,1,29.21,0.28,1,31.00,0.29,23.1,0.65,1.30,2.1,2.15,18.31,1.903,good,843,"51 -1  1",2,51.1
13344,N1387,31.51,13418,200015,54.238,-35.506,1265,-3,31,0.06,1.208,0.047,2,30.06,0.14,1,31.54,0.26,26.1,0.28,2.24,4.3,1.16,20.79,0.000,good,843,"51 -1  1",2,51.1
13354,N1382,31.83,13418,200015,54.285,-35.195,1740,-3,31,0.07,1.106,0.013,2,29.83,0.30,2,31.77,0.31,17.9,0.42,2.14,1.2,2.58,17.81,0.000,good,843,"51 -1  1",4588,51.1
13360,N1389,31.60,13418,200015,54.299,-35.745,883,-3,31,0.05,1.145,0.019,1,29.92,0.16,1,31.68,0.18,25.5,0.59,2.36,6.1,0.91,19.60,0.000,good,843,"51 -1  1",2,51.1
13418,N1399,31.49,13418,200015,54.621,-35.449,1425,-5,31,0.06,1.227,0.016,2,30.11,0.13,1,31.50,0.16,45.6,0.16,2.57,3.8,1.34,21.69,2.555,good,843,"51 -1  1",,51.1
13419,N1395,31.92,13419,200100,54.623,-23.028,1636,-5,32,0.10,1.215,0.010,4,30.47,0.14,2,31.91,0.16,39.9,0.18,2.93,2.9,1.49,22.02,2.394,good,849,"51 -4  4",,51.2
13429,N1411,31.43,13727,201169,54.688,-44.100,993,-3,0,0.04,1.107,0.018,1,29.54,0.23,1,31.48,0.25,30.4,0.50,1.98,4.9,1.21,19.42,0.000,good,950,"53 -7  7",2,53.0
13433,N1404,31.65,13418,200015,54.715,-35.593,1873,-5,31,0.05,1.224,0.016,2,30.20,0.16,1,31.61,0.19,45.2,0.33,2.67,2.0,2.00,21.54,2.384,good,843,"51 -1  1",,51.1
13470,N1400,31.92,13505,200063,54.880,-18.689,530,-3,32,0.28,1.170,0.009,4,30.46,0.32,3,32.11,0.33,33.9,0.43,2.26,9.6,0.32,20.96,2.417,good,853,"51  8  4",,51.2
13505,N1407,32.31,13505,200063,55.052,-18.581,1779,-5,32,0.30,1.222,0.010,4,30.88,0.25,1,32.30,0.26,31.2,0.23,1.88,2.9,1.42,22.98,2.456,good,853,"51 -8  4",,51.2
13534,N1419,31.44,13418,200015,55.178,-37.512,1561,-5,31,0.06,1.110,0.018,1,29.50,0.22,1,31.42,0.24,21.8,0.69,1.38,2.8,1.63,17.81,0.000,good,843,"51 -1  1",2,51.1
13609,N1427,31.86,13418,200015,55.582,-35.393,1410,-4,31,0.05,1.152,0.018,1,30.13,0.22,1,31.86,0.24,41.9,0.36,1.44,3.5,1.45,20.52,2.230,good,843,"51 -1  1",2,51.1
13638,N1426,31.88,13419,200100,55.705,-22.110,1443,-5,32,0.07,1.161,0.009,4,30.22,0.17,1,31.91,0.18,28.7,0.25,2.04,4.3,1.27,20.12,2.185,good,849,"51 -4  4",4587,51.2
13738,N1439,32.13,13419,200100,56.210,-21.922,1670,-5,32,0.13,1.131,0.009,4,30.30,0.13,1,32.13,0.15,27.6,0.26,2.12,3.3,1.25,20.44,2.201,good,849,"51 -4  4",4587,51.2
13753,E358-059,31.51,13418,200015,56.264,-35.973,997,-3,31,0.04,1.081,0.016,2,29.55,0.18,1,31.60,0.20,12.7,0.57,2.31,6.4,1.02,17.33,0.000,good,843,"51 -1  1",2,51.1
14077,I2006,31.58,13418,200015,58.618,-35.967,1343,-5,31,0.05,1.183,0.018,1,29.99,0.27,1,31.59,0.29,44.5,0.68,1.36,3.6,1.45,19.61,2.086,good,843,"51 -1  1",2,51.1
14520,N1521,34.23,14520,202985,62.079,-21.052,4218,-5,0,0.18,1.152,0.029,1,32.41,0.36,1,34.14,0.38,21.3,0.34,2.75,0.2,2.81,22.12,0.000,poor,0,,4290,113.0
14526,N1527,31.25,14526,211135,62.102,-47.897,1212,-3,0,0.05,1.230,0.016,2,29.90,0.20,1,31.28,0.22,25.1,0.29,2.33,4.4,0.95,20.51,0.000,good,950,"53 -7  7",,53.0
