# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR LOGDIST_AVG LOGDIST_AVG_ERR MAIN 
110266 DESIXJ10522826+4252454 163.117756 42.879285 0.0512 0.5632 0.4775 0.0107 103 15 15.9599 0.1008 0.1041 0.0713 0
110477 DESIXJ15465526+2050058 236.730250 20.834945 0.0377 0.7526 0.3561 0.0245 52 18 16.8379 0.0625 0.2328 0.1564 0
110860 DESIXJ10485488-0042339 162.228678 -0.709403 0.0260 0.9193 0.5971 0.0201 52 25 15.2472 0.0310 0.3996 0.2239 0
111724 DESIXJ13294670+3819218 202.444577 38.322716 0.0268 0.5559 0.4013 0.0192 71 12 15.3488 0.1011 0.1747 0.0775 0
113164 DESIXJ13272854+4932434 201.868902 49.545400 0.0870 0.7476 0.4653 0.0118 134 14 16.4735 0.0637 0.0841 0.0609 1
113563 DESIXJ07450658+2845268 116.277420 28.757432 0.0239 0.7933 0.4077 0.0073 46 15 15.5710 0.0483 0.3542 0.1535 0
113900 DESIXJ14275885+2551589 216.995226 25.866359 0.0153 0.3243 0.3665 0.0063 79 10 15.3044 0.1515 -0.0900 0.0689 0
113918 DESIXJ09282768+6526505 142.115335 65.447349 0.0235 0.6629 0.6672 0.0189 69 13 16.2453 0.0784 -0.0395 0.0854 0
115633 DESIXJ10084045+5843567 152.168524 58.732413 0.0310 0.7998 0.5315 0.0079 193 16 14.2718 0.0569 -0.1174 0.0552 1
118265 DESIXJ21335413+0009018 323.475544 0.150502 0.1222 0.6814 0.7958 0.0154 213 24 16.1105 0.0736 0.0582 0.0618 0
119114 DESIXJ08132234+4414084 123.343103 44.235653 0.0592 0.5828 2.1522 0.1292 150 10 14.2194 0.1508 0.1266 0.0546 0
119632 DESIXJ08004045+2819143 120.168535 28.320635 0.0486 0.6227 0.5420 0.0255 76 15 15.4419 0.0871 0.3802 0.0895 1
120345 DESIXJ03213305-0026022 50.387701 -0.433946 0.0485 0.5817 0.3697 0.0217 59 13 18.1760 0.0949 -0.0244 0.0968 0
121636 DESIXJ08381842+3334417 129.576750 33.578244 0.0626 0.8860 0.7372 0.0146 61 30 14.6272 0.0509 0.7780 0.2281 0
121946 DESIXJ11262204+0223255 171.591847 2.390417 0.0456 0.4242 0.5318 0.0280 110 12 14.9106 0.1308 0.2455 0.0633 1
122726 DESIXJ12574945+5903026 194.456028 59.050716 0.0223 0.6871 0.3686 0.0150 73 14 16.5562 0.0749 -0.1679 0.0852 1
123165 DESIXJ16022885+1353050 240.620198 13.884735 0.0343 0.7336 0.4456 0.0096 115 7 15.1719 0.0616 0.0498 0.0520 1
123909 DESIXJ11482283-0316012 177.095131 -3.266991 0.1238 0.6557 1.0023 0.0208 218 19 15.8709 0.0775 0.1062 0.0571 1
123912 DESIXJ13304232+1013273 202.676328 10.224243 0.0563 0.5085 0.3622 0.0545 85 11 17.1293 0.1161 0.0419 0.0676 0
124861 DESIXJ14170416-0251399 214.267331 -2.861071 0.0296 0.6536 0.4787 0.0083 21 13 16.9689 0.0785 0.6195 0.2663 0
125651 DESIXJ15201056+1248194 230.043986 12.805382 0.0743 0.7403 0.4451 0.0094 183 14 16.2796 0.0594 -0.1141 0.0548 0
126773 DESIXJ11010284-0047228 165.261830 -0.789656 0.0445 0.5987 0.3365 0.0315 47 10 16.4599 0.0935 0.4284 0.0956 0
128025 DESIXJ14214654+6520348 215.443935 65.343003 0.0567 0.8981 0.3315 0.0112 14 16 16.8642 0.0311 1.0877 0.3278 0
128475 DESIXJ11523861+0526519 178.160856 5.447754 0.1330 0.5999 0.6865 0.0284 211 13 16.3197 0.0932 0.0702 0.0531 0
131461 DESIXJ14340092-0303486 218.503828 -3.063493 0.0430 0.3820 0.6050 0.0354 87 9 15.4590 0.1395 0.2520 0.0615 1
134017 DESIXJ17210304+6323282 260.262668 63.391171 0.0360 0.1755 0.6321 0.0317 134 5 14.9946 0.1868 0.0060 0.0541 0
134096 DESIXJ23181243+0411065 349.551772 4.185133 0.0546 0.6775 0.9641 0.0144 159 58 14.4309 0.0794 0.1937 0.1655 0
135325 DESIXJ03525159-0807243 58.214948 -8.123414 0.0325 0.6959 0.6940 0.0164 70 36 15.4501 0.0705 0.2589 0.2390 0
136739 DESIXJ09133798+6408546 138.408241 64.148496 0.0286 0.7131 0.6742 0.0125 136 7 14.5873 0.0701 -0.0092 0.0513 0
137250 DESIXJ10192901+6653309 154.870881 66.891911 0.0375 0.5638 0.4284 0.0153 157 12 15.0046 0.0992 -0.0720 0.0549 0
137484 DESIXJ01432819-0330308 25.867463 -3.508548 0.0187 0.6162 0.3916 0.0147 81 12 15.8614 0.0855 -0.1791 0.0713 0
137996 DESIXJ03413031-0834160 55.376288 -8.571122 0.0136 0.8032 0.5040 0.0060 123 23 14.8171 0.0483 -0.3400 0.0823 0
138076 DESIXJ11005860-0704102 165.244179 -7.069500 0.0261 0.4692 0.3043 0.0205 119 11 15.4076 0.1301 -0.1071 0.0593 0
138355 DESIXJ02245895-1103266 36.245621 -11.057376 0.0209 0.7395 0.3411 0.0144 82 14 14.3973 0.0585 0.1679 0.0778 0
138488 DESIXJ14092017-0539457 212.334027 -5.662704 0.0297 0.3535 0.3363 0.0263 41 12 17.5460 0.1452 0.1314 0.1358 1
140614 DESIXJ23104022+0328212 347.667572 3.472560 0.0678 0.3502 0.6523 0.0273 198 11 15.1673 0.1487 0.0148 0.0541 0
143453 DESIXJ14272242-0657563 216.843416 -6.965636 0.0314 0.5080 0.4533 0.0386 74 12 15.8311 0.1152 0.1485 0.0758 0
144110 DESIXJ16302642+3547132 247.610096 35.786994 0.0545 0.8508 0.3792 0.0745 231 18 14.9577 0.0444 -0.1102 0.0547 0
145238 DESIXJ07215117+3835262 110.463189 38.590619 0.0688 0.8961 0.5931 0.0106 206 22 15.4797 0.0406 -0.0709 0.0597 0
146145 DESIXJ08275149+5510090 126.964531 55.169176 0.0301 0.6724 0.3138 0.0153 34 13 17.0898 0.0880 0.2966 0.1801 0
146389 DESIXJ13502030+5334486 207.584576 53.580167 0.0760 0.3632 0.5739 0.0416 124 11 16.1998 0.1463 0.1267 0.0591 0
148011 DESIXJ12553514+1044191 193.896396 10.738644 0.0062 0.5537 0.3590 0.0125 30 10 16.3090 0.0991 -0.0869 0.1602 0
150579 DESIXJ02460491-0319362 41.520462 -3.326709 0.0253 0.7131 0.4706 0.0172 78 6 14.9329 0.0646 0.1769 0.0544 1
153908 DESIXJ16435242+4544500 250.968418 45.747221 0.0178 0.2627 0.3958 0.0368 61 10 14.9948 0.1672 0.1622 0.0775 0
155381 DESIXJ12132362+0544194 183.348407 5.738715 0.0832 0.5981 0.7079 0.0302 212 14 15.2802 0.0934 0.0490 0.0537 0
156453 DESIXJ11324545-0044278 173.189368 -0.741055 0.0224 0.9189 0.4416 0.0056 57 10 15.1415 0.0272 0.3032 0.0782 1
157022 DESIXJ18331935+5703112 278.330624 57.053113 0.0555 0.7274 0.8048 0.0077 265 8 14.9042 0.0677 -0.1987 0.0488 0
157442 DESIXJ02515436-0908549 42.976496 -9.148572 0.0181 0.5036 0.3231 0.0164 76 12 16.4014 0.1104 -0.2493 0.0760 0
157551 DESIXJ07331012+3823242 113.292176 38.390046 0.0358 0.6554 0.5637 0.0274 191 13 15.4384 0.0841 -0.2867 0.0534 0
158845 DESIXJ01281236-0618355 22.051493 -6.309854 0.0332 0.4601 0.3889 0.0318 53 11 15.9544 0.1245 0.3170 0.0919 0
159742 DESIXJ22304056-0708372 337.669015 -7.143660 0.0343 0.5867 0.4749 0.0119 64 7 16.3834 0.0946 0.1281 0.0631 0
