# SGA_ID DESI_NAME RA Dec z_desi BA G_R G_R_err V_0p4R26  V_0p4R26_err R_MAG_SB26_CORR R_MAG_SB26_ERR_CORR
243137 DESIXJ08344636+7009455 128.693171 70.162649 0.0109 0.5632 0.4770 0.0051 40 2 14.5474 0.1223
243631 DESIXJ01573406-0726133 29.391932 -7.437017 0.0551 0.5410 0.8004 0.0461 149 24 16.3423 0.1307
243735 DESIXJ20554362+0548145 313.931750 5.804016 0.0477 0.7488 0.7563 0.0122 241 1 14.7086 0.0705
245158 DESIXJ16181103+5644082 244.545947 56.735604 0.0656 0.3562 0.8614 0.0329 167 1 16.1560 0.1783
248253 DESIXJ10485689+1211421 162.237035 12.195034 0.0045 0.5171 0.3253 0.0244 63 7 15.1078 0.1329
250847 DESIXJ07503502+6207213 117.645909 62.122591 0.0191 0.4364 0.6822 0.0342 125 3 15.2936 0.1586
256406 DESIXJ15160411+1951342 229.017135 19.859510 0.0492 0.6435 0.7709 0.0185 328 7 15.1003 0.1005
259211 DESIXJ21051997-1028223 316.333212 -10.472871 0.0283 0.7628 0.6050 0.0130 48 2 15.8246 0.0655
260908 DESIXJ04220208-1322555 65.508664 -13.382090 0.0209 0.6665 0.5080 0.0191 36 35 15.2365 0.0937
262943 DESIXJ15395849+1826327 234.993717 18.442427 0.1656 0.6060 1.0872 0.0247 317 21 16.0828 0.1113
264566 DESIXJ02535834-0948480 43.493092 -9.813324 0.0345 0.7975 0.3650 0.0143 45 1 17.0565 0.0561
267919 DESIXJ22290512+0207063 337.271334 2.118429 0.0742 0.4748 0.6968 0.0553 87 0 16.2195 0.1510
268550 DESIXJ18421668+6448359 280.569493 64.809969 0.0394 0.6286 1.5700 0.1101 137 14 12.5409 0.1168
270196 DESIXJ08123764+4212496 123.156821 42.213786 0.0633 0.3220 0.9550 0.0622 150 3 15.6478 0.1932
273262 DESIXJ16272893+3857232 246.870560 38.956432 0.0277 0.8138 0.3102 0.0138 83 2 17.4062 0.0568
273960 DESIXJ17032826+6106321 255.867748 61.108919 0.0110 0.6904 0.4229 0.0079 113 5 15.7083 0.0887
274026 DESIXJ08520621+5623525 133.025884 56.397930 0.0450 0.3698 0.4865 0.0212 88 2 16.1431 0.1778
274173 DESIXJ11440256+1716481 176.010675 17.280014 0.1018 0.5984 0.8104 0.0186 267 21 16.8345 0.1121
274312 DESIXJ07392658+4152541 114.860743 41.881691 0.0860 0.4286 0.8266 0.0572 233 3 16.7984 0.1633
274681 DESIXJ11512286+6034347 177.845260 60.576293 0.0659 0.7473 0.7232 0.0210 66 21 16.1062 0.0744
275096 DESIXJ13353371+1316294 203.890475 13.274839 0.0234 0.9380 0.6102 0.0057 32 10 16.4929 0.0174
276206 DESIXJ11492034+1218223 177.334733 12.306189 0.0708 0.3649 0.3349 0.0316 185 7 15.2133 0.1783
276349 DESIXJ16253901+2100441 246.412556 21.012262 0.0579 0.2841 0.5143 0.0453 74 1 16.4147 0.1985
276988 DESIXJ12452533+1059076 191.355536 10.985458 0.0460 0.5457 0.2613 0.0246 69 1 16.4320 0.1317
278300 DESIXJ12415935+1256341 190.497299 12.942814 0.0038 0.8539 0.6685 0.0018 42 19 12.1864 0.0455
278445 DESIXJ11362448+5252030 174.102005 52.867507 0.0332 0.3888 0.3696 0.0324 108 1 15.9591 0.1711
278579 DESIXJ15421589+4847496 235.566189 48.797107 0.0685 0.9405 0.5285 0.0152 188 7 15.9615 0.0355
279374 DESIXJ11010153+5600452 165.256366 56.012564 0.0711 0.9239 0.3686 0.0100 83 12 17.4202 0.0364
280476 DESIXJ09365976+1317379 144.249015 13.293861 0.0476 0.5267 0.6253 0.0359 109 2 15.7939 0.1338
280724 DESIXJ12390973+0855580 189.790556 8.932773 0.0470 0.7476 0.5732 0.0324 146 1 16.1682 0.0751
281918 DESIXJ09141581+1851456 138.565886 18.862676 0.0293 0.4631 0.4269 0.0318 66 1 17.2909 0.1483
282737 DESIXJ08334394+4319518 128.433073 43.331063 0.0413 0.7927 0.2194 0.0403 11 1 16.3174 0.0721
282820 DESIXJ13183743+1307205 199.655957 13.122366 0.0253 0.8374 0.2517 0.0202 12 5 16.7403 0.0563
283631 DESIXJ14481927+0348312 222.080273 3.808669 0.0280 0.3494 0.5017 0.0498 37 11 15.5088 0.1819
283921 DESIXJ00393224+1513239 9.884341 15.223307 0.0782 0.5416 0.7155 0.0463 191 8 15.8979 0.1297
287046 DESIXJ12080132+3256212 182.005509 32.939227 0.0453 0.6209 0.4527 0.0267 79 1 15.4730 0.1094
288273 DESIXJ21535209+0036022 328.467027 0.600621 0.0269 0.3232 0.3025 0.0361 73 8 16.7187 0.1879
288943 DESIXJ15595778+1818452 239.990757 18.312548 0.0318 0.6247 0.5220 0.0203 81 4 16.6408 0.1052
289969 DESIXJ13051260+0834226 196.302511 8.572945 0.0238 0.5801 0.4363 0.0199 85 8 15.4265 0.1207
292164 DESIXJ16351941+2628282 248.830887 26.474508 0.1323 0.2856 0.7041 0.0285 281 5 16.6896 0.1969
292317 DESIXJ00513407+1354529 12.891954 13.914684 0.0392 0.8390 0.7655 0.0237 154 13 15.3269 0.0555
