# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
630202 DESIXJ14460858+0051518 221.535769 0.864388 0.0736 102 2 15749 689
636477 DESIXJ13152172+0118496 198.840515 1.313780 0.0333 111 2 3447 308
639972 DESIXJ12005837-0341160 180.243192 -3.687779 0.0264 94 2 -2520 258
651835 DESIXJ12502629+0328400 192.609556 3.477764 0.1624 288 13 6384 3102
652011 DESIXJ15025269+3109556 225.719527 31.165448 0.0678 267 2 -10154 447
659101 DESIXJ11404665+6447120 175.194356 64.786677 0.0386 56 0 6764 384
668490 DESIXJ02591453+0033591 44.810524 0.566411 0.0093 14 10 1843 2928
678974 DESIXJ12472954-0301124 191.873083 -3.020111 0.0890 43 15 46412 15178
689035 DESIXJ11295811-0405527 172.492145 -4.097980 0.0368 29 1 15360 1003
691907 DESIXJ04394005-0921103 69.916868 -9.352873 0.0166 23 18 9159 5356
699399 DESIXJ17512937+5229069 267.872360 52.485246 0.0175 36 8 2917 1618
699641 DESIXJ12150294+3557321 183.762265 35.958926 0.0031 13 2 1237 187
706244 DESIXJ09324511-0106414 143.187975 -1.111512 0.0135 40 16 260 2739
712607 DESIXJ09521759-0138035 148.073275 -1.634310 0.0194 22 0 9445 254
718735 DESIXJ12111981+0048174 182.832539 0.804832 0.0212 34 5 4944 1389
723089 DESIXJ12235508+6123012 185.979515 61.383680 0.0334 41 5 4858 1649
723903 DESIXJ22574539-0054255 344.439142 -0.907083 0.0455 100 4 4248 846
724198 DESIXJ13034850+2605214 195.952091 26.089290 0.0375 199 1 703 271
742167 DESIXJ16443054+3428400 251.127251 34.477778 0.0850 263 3 -8516 919
743644 DESIXJ15594127+0611422 239.921970 6.195043 0.0458 68 0 6710 380
743655 DESIXJ12400186-0336247 190.007732 -3.606848 0.0084 41 17 481 1707
751379 DESIXJ12343515+0259381 188.646441 2.993917 0.0639 65 2 10639 1135
752606 DESIXJ13565150-0019528 209.214588 -0.331321 0.1060 188 2 9001 1335
754543 DESIXJ10332661+0150235 158.360881 1.839869 0.0291 51 10 8470 2369
755132 DESIXJ14252475+5133161 216.353140 51.554475 0.0067 30 1 -382 156
757166 DESIXJ12370486+6142463 189.270241 61.712873 0.0759 77 1 14524 757
757816 DESIXJ13204162-0120569 200.173423 -1.349149 0.0663 223 3 -3847 476
760219 DESIXJ10001196-0818040 150.049831 -8.301121 0.0331 102 6 -2312 800
765622 DESIXJ15124144+0736215 228.172677 7.605976 0.0485 99 0 2483 336
775418 DESIXJ04341989-0749015 68.582861 -7.817096 0.0301 100 2 -950 298
784282 DESIXJ09130177-0153555 138.257371 -1.898738 0.0397 99 0 6240 222
785048 DESIXJ04211149-0632521 65.297859 -6.547803 0.0393 136 2 -365 287
794974 DESIXJ12470897+6108161 191.787379 61.137818 0.0695 16 0 55015 1337
797450 DESIXJ11370679+0250450 174.278312 2.845835 0.0292 230 1 -6167 227
799981 DESIXJ08341496-0023459 128.562341 -0.396085 0.0490 204 0 -3626 226
801483 DESIXJ11290596-0358411 172.274815 -3.978093 0.0366 62 1 6128 402
805991 DESIXJ13071070-0645547 196.794587 -6.765199 0.0048 24 2 48 197
807012 DESIXJ14211859-0527399 215.327471 -5.461073 0.0237 39 4 1913 1004
808667 DESIXJ13594337+4023142 209.930721 40.387278 0.0127 18 9 5742 3136
809606 DESIXJ13164623+0713093 199.192608 7.219241 0.0508 127 1 -165 305
817748 DESIXJ12042633-0037550 181.109717 -0.631936 0.0204 75 1 -252 161
820407 DESIXJ15170493+0450535 229.270550 4.848203 0.0378 31 12 14018 7181
820636 DESIXJ16222293+1034382 245.595543 10.577272 0.0331 62 4 1100 1005
821914 DESIXJ13014731+0534267 195.447109 5.574072 0.0544 107 2 227 590
822041 DESIXJ01265452-0038510 21.727169 -0.647505 0.1646 181 6 61 2641
822111 DESIXJ13153859+0446124 198.910772 4.770115 0.1251 155 1 17175 739
822187 DESIXJ17025404+2109258 255.725155 21.157179 0.0553 46 8 14036 3760
822622 DESIXJ15551203+3045433 238.800140 30.762028 0.0322 93 2 -2959 319
823338 DESIXJ13181343-0008534 199.555952 -0.148171 0.0488 86 0 6567 302
824416 DESIXJ13314734+0158299 202.947244 1.974985 0.1025 277 7 -1203 1135
832400 DESIXJ16014589+1508201 240.441213 15.138915 0.0564 140 0 5056 280
837585 DESIXJ14002937+4819148 210.122392 48.320780 0.1503 343 22 104 3880
845734 DESIXJ13143785-0318276 198.657707 -3.307667 0.0415 314 15 -4913 867
846460 DESIXJ15182449+3244331 229.602048 32.742532 0.0301 45 4 5789 1045
848778 DESIXJ08083203+1812212 122.133473 18.205893 0.0170 60 0 93 138
856840 DESIXJ09492902-0225061 147.370903 -2.418367 0.0830 156 1 5242 797
862813 DESIXJ09293817+0157226 142.409062 1.956277 0.0506 297 18 -16967 1200
865433 DESIXJ16421932+0345456 250.580497 3.762656 0.0960 573 7 -31934 955
866527 DESIXJ09452623+0512312 146.359274 5.208668 0.0105 15 6 1523 2235
867724 DESIXJ10520311+3619370 163.012943 36.326934 0.1203 316 14 -9351 2384
868117 DESIXJ11403965-0218069 175.165204 -2.301917 0.0478 214 12 -4447 1225
872996 DESIXJ15021953+3217446 225.581366 32.295729 0.0394 85 1 2472 307
873021 DESIXJ00530500+0319087 13.270832 3.319082 0.0415 50 1 16156 632
878505 DESIXJ12414056+3324593 190.419015 33.416459 0.0225 109 0 -3270 121
885043 DESIXJ13090478-0727115 197.269901 -7.453198 0.0306 119 2 -2450 264
887543 DESIXJ04383013-0132100 69.625562 -1.536104 0.0679 209 1 -1630 450
888602 DESIXJ08415852+0030236 130.493848 0.506564 0.1336 305 1 -15915 1570
890344 DESIXJ13471695+0148052 206.820615 1.801439 0.0330 39 2 5371 740
895614 DESIXJ02235491-0242158 35.978785 -2.704394 0.0192 51 5 1108 788
897445 DESIXJ08380712-0013434 129.529678 -0.228735 0.0522 51 3 11356 1270
904330 DESIXJ13255401+4746441 201.475054 47.778913 0.0392 57 2 5250 845
913493 DESIXJ15081508+3059511 227.062852 30.997516 0.0636 145 4 5116 734
916855 DESIXJ00585547+0100180 14.731115 1.004992 0.0179 24 4 5529 1196
919136 DESIXJ10222767-0055341 155.615276 -0.926140 0.0485 97 1 -620 422
919986 DESIXJ16121523+4315048 243.063470 43.251320 0.0532 119 28 5527 5142
926049 DESIXJ07531368+2413354 118.307007 24.226502 0.1235 387 20 -10181 2535
926065 DESIXJ15164240+0115437 229.176680 1.262141 0.0379 181 2 -2240 269
926573 DESIXJ12584568+0241012 194.690323 2.683671 0.0367 99 1 1183 366
928871 DESIXJ16265128+2946402 246.713658 29.777844 0.0476 160 6 -11015 781
930698 DESIXJ11374716+0039508 174.446520 0.664116 0.1069 174 4 12799 1316
932075 DESIXJ12291139+0107124 187.297464 1.120122 0.1180 73 31 50474 24117
935180 DESIXJ13510713-0226296 207.779694 -2.441553 0.0255 78 1 -1121 235
939496 DESIXJ06475380+5526173 101.974155 55.438145 0.0397 124 0 280 288
943595 DESIXJ18060269+3938546 271.511219 39.648493 0.0408 106 3 4294 598
946694 DESIXJ02264809-0319050 36.700358 -3.318058 0.0539 102 1 5234 378
952082 DESIXJ12485528+6235595 192.230328 62.599858 0.1032 418 20 -14867 2028
954010 DESIXJ06170123+6916557 94.255116 69.282145 0.0186 126 0 -2026 108
961501 DESIXJ18270031+5557186 276.751277 55.955164 0.1038 369 17 -13388 1924
965930 DESIXJ12120071-0046033 183.002972 -0.767571 0.0719 31 2 50586 2118
968399 DESIXJ08515800+7148525 132.991677 71.814580 0.0117 26 7 5640 1443
969076 DESIXJ12460932-0155450 191.538823 -1.929155 0.0853 147 2 8677 950
969430 DESIXJ10070286-0457563 151.761926 -4.965632 0.0332 47 5 2724 1468
970155 DESIXJ11305504-0531147 172.729348 -5.520757 0.1190 996 5 -67868 1594
978658 DESIXJ09482423-0352171 147.100967 -3.871405 0.0131 36 2 633 382
989076 DESIXJ15582800+0555298 239.616675 5.924949 0.0529 27 11 24926 10538
991476 DESIXJ15244627+3348260 231.192804 33.807224 0.0823 269 9 -4266 1450
992320 DESIXJ14544320+0440026 223.679980 4.667383 0.0455 84 1 4124 429
1001302 DESIXJ11575227+0051287 179.467773 0.857982 0.1059 155 1 5964 1200
1003542 DESIXJ14151275+0356130 213.803123 3.936934 0.0595 37 2 20534 1506
1006262 DESIXJ03140410-0000294 48.517092 -0.008154 0.0748 14 1 60404 3560
1014166 DESIXJ16085632+3150467 242.234658 31.846310 0.0319 116 16 -623 1693
1014184 DESIXJ08115863+1348423 122.994275 13.811740 0.0540 155 4 3099 644
1019231 DESIXJ12103562+5102320 182.648418 51.042231 0.1709 205 8 36327 2808
1019348 DESIXJ10344280+0301129 158.678331 3.020238 0.0725 35 2 41887 2219
1021468 DESIXJ15401107+0043145 235.046124 0.720689 0.0997 72 5 40790 2782
1023307 DESIXJ12175201-0054264 184.466727 -0.907347 0.0211 106 2 -2443 189
1028342 DESIXJ13250714-0057362 201.279766 -0.960068 0.0852 137 3 610 970
1029672 DESIXJ14340096-0303385 218.503991 -3.060683 0.0431 22 2 23930 2067
1031862 DESIXJ12570947-0500591 194.289459 -5.016415 0.0164 90 0 -942 216
1033299 DESIXJ11234512-0050175 170.938013 -0.838202 0.0089 44 3 -1267 268
1045891 DESIXJ21212604-0150003 320.358485 -1.833412 0.0548 196 4 2033 555
1051686 DESIXJ12011101-0117467 180.295895 -1.296295 0.0050 40 1 622 64
1059339 DESIXJ12401600-0740576 190.066647 -7.682661 0.0074 25 1 667 184
1062680 DESIXJ11472022+5229185 176.834270 52.488475 0.0474 143 1 1177 318
1063931 DESIXJ11240392-0717190 171.016349 -7.288600 0.0291 141 5 23 457
1065113 DESIXJ14494721-0355423 222.446690 -3.928420 0.0261 91 2 635 297
1070707 DESIXJ10204700-0145578 155.195824 -1.766069 0.0559 172 16 2758 2055
1072710 DESIXJ11541149-0107526 178.547857 -1.131290 0.0110 38 1 912 202
1073430 DESIXJ15454456+4415489 236.435674 44.263570 0.0343 54 1 2855 456
1073745 DESIXJ11140974-0008093 168.540599 -0.135915 0.1005 244 1 -2557 1224
1076447 DESIXJ09191995-0613310 139.833135 -6.225272 0.0244 57 2 1402 402
1079620 DESIXJ14135761-0013577 213.490059 -0.232702 0.0387 218 12 -10551 906
1084512 DESIXJ12331517+3544039 188.313192 35.734405 0.0028 19 5 -493 293
1088985 DESIXJ12564144+5339183 194.172667 53.655092 0.0234 76 1 1525 254
1111082 DESIXJ16221769+3851342 245.573698 38.859506 0.0330 54 2 4280 580
1111560 DESIXJ22401341-0048180 340.055879 -0.804999 0.0546 58 3 9004 1215
1111596 DESIXJ10215317+0147483 155.471537 1.796752 0.0713 273 1 -10629 420
1111638 DESIXJ16061254+3212519 241.552244 32.214429 0.1315 394 16 -22578 2218
1114834 DESIXJ13093344+5159023 197.389326 51.983984 0.0261 56 2 2363 426
1116993 DESIXJ20540431+0039465 313.517978 0.662929 0.0273 41 4 4866 1127
