# SGA_ID DESI_NAME RA Dec z_desi V_0p4R26  V_0p4R26_err  V_PEC  V_ERR_PEC
371421 DESIXJ07391292+2740260 114.803816 27.673896 0.1557 164 25 21512 8858
374237 DESIXJ14135354+4552138 213.473077 45.870504 0.0276 161 1 -3586 188
374686 DESIXJ12194018+5419283 184.917436 54.324530 0.0668 121 3 4292 735
375843 DESIXJ16544155+3114230 253.673144 31.239713 0.0369 77 2 4722 511
376416 DESIXJ12183869+4851147 184.661188 48.854079 0.0448 210 5 -5086 475
378733 DESIXJ13375028+0507203 204.459480 5.122303 0.1024 168 3 1219 797
381330 DESIXJ08512953+0505592 132.873048 5.099790 0.0602 78 3 8372 1001
385985 DESIXJ15045980-0159557 226.249182 -1.998816 0.0334 66 2 -1157 554
386049 DESIXJ10012529+0335387 150.355394 3.594085 0.0630 65 2 24529 821
387480 DESIXJ14584607+0258080 224.691971 2.968891 0.0055 65 3 -1350 126
387514 DESIXJ14310064-0201323 217.752650 -2.025647 0.0532 215 12 264 1188
390630 DESIXJ12551679+2557245 193.819940 25.956814 0.0316 63 2 1352 562
393618 DESIXJ15262706+3806582 231.612757 38.116164 0.0326 66 7 4946 1484
395730 DESIXJ03143425+0031569 48.642690 0.532479 0.0210 232 7 -10394 295
396019 DESIXJ10414972+0114129 160.457180 1.236913 0.0638 277 2 -10489 391
396246 DESIXJ15480684+3154037 237.028513 31.901030 0.0854 180 5 7759 961
399000 DESIXJ12391140+0043030 189.797485 0.717504 0.0170 138 6 525 299
399466 DESIXJ15184538+0641480 229.689093 6.696663 0.0479 345 5 -24858 387
401801 DESIXJ11023667-0539206 165.652801 -5.655734 0.0443 42 3 14718 1440
401894 DESIXJ12261181-0118155 186.549204 -1.304302 0.0067 11 2 3654 518
402410 DESIXJ14414440-0148250 220.434986 -1.806947 0.0061 67 15 -871 573
407388 DESIXJ18445191+6154009 281.216284 61.900240 0.0517 177 2 -2659 332
407412 DESIXJ11061026-0537073 166.542770 -5.618701 0.1007 282 8 -11834 1234
408277 DESIXJ09512906-0145240 147.871102 -1.756672 0.0193 33 11 4482 3276
413098 DESIXJ11485298+0103243 177.220738 1.056741 0.0472 34 3 32607 1968
413437 DESIXJ18163460+5049060 274.144160 50.818329 0.1015 168 10 11030 2373
416694 DESIXJ18151478+3448553 273.811564 34.815348 0.0997 401 2 -23159 723
420731 DESIXJ18191829+4743034 274.826189 47.717601 0.0377 154 4 -194 416
429053 DESIXJ16093738+0221403 242.405741 2.361186 0.0308 189 0 -1927 134
437666 DESIXJ09492989-0147494 147.374545 -1.797051 0.0475 116 1 4223 256
438094 DESIXJ10344791+6933302 158.699619 69.558400 0.0385 136 3 -66 422
440572 DESIXJ01191585+0212536 19.816029 2.214877 0.0444 189 1 1330 211
441064 DESIXJ02215378-0550182 35.474069 -5.838402 0.0495 173 5 2514 569
443698 DESIXJ11080773-0540595 167.032209 -5.683182 0.0611 106 3 11626 854
443831 DESIXJ11463732-0723568 176.655481 -7.399119 0.0463 43 4 11258 1983
446318 DESIXJ12421504+3830135 190.562654 38.503736 0.0012 18 3 -5 95
447837 DESIXJ11271443-0459027 171.810135 -4.984073 0.0578 191 1 1860 403
448273 DESIXJ10314000-0356154 157.916663 -3.937616 0.0304 134 0 -540 143
449368 DESIXJ16033176+3328048 240.882323 33.468005 0.0631 165 2 -27 504
450846 DESIXJ14520805+3951406 223.033531 39.861272 0.0617 249 2 -6171 416
451986 DESIXJ13122701+3313151 198.112553 33.220862 0.0229 14 5 9886 4600
452322 DESIXJ11264242+3450599 171.676745 34.849985 0.0419 101 12 -5173 1964
452636 DESIXJ11341721+0350296 173.571705 3.841548 0.0223 59 4 -1040 636
452937 DESIXJ08304096+0743524 127.670659 7.731226 0.0639 117 1 -591 398
453028 DESIXJ14312184+4315446 217.841004 43.262393 0.0968 214 2 3180 645
456882 DESIXJ04122961-0536201 63.123364 -5.605576 0.0545 107 3 -1757 702
459283 DESIXJ14593263-0157458 224.885960 -1.962723 0.0878 34 2 49597 2174
465369 DESIXJ14101452+1128211 212.560507 11.472538 0.0275 24 1 15574 666
465907 DESIXJ10550526+4904439 163.771908 49.078869 0.0230 55 2 3842 366
467123 DESIXJ17065325+3159446 256.721885 31.995716 0.0363 112 3 2772 390
467185 DESIXJ12391814-0226223 189.825594 -2.439532 0.0848 177 2 7053 530
467446 DESIXJ13155368+0642142 198.973676 6.703948 0.0534 190 5 -3564 608
468105 DESIXJ10151494+0417308 153.812266 4.291879 0.0142 22 5 5457 1574
470224 DESIXJ13560343+4548471 209.014295 45.813088 0.0636 154 2 6508 546
470382 DESIXJ13211487+0830215 200.311954 8.505967 0.0421 128 1 6880 265
470983 DESIXJ13383732+0534249 204.655505 5.573587 0.0722 72 1 22441 694
471682 DESIXJ14321575+0424421 218.065614 4.411704 0.0581 48 1 16114 926
472042 DESIXJ15103802+2239480 227.658420 22.663322 0.0410 61 3 6682 868
474776 DESIXJ14234590+0224400 215.941235 2.411117 0.0550 167 0 3867 265
476869 DESIXJ12313039+6545493 187.876641 65.763700 0.0311 102 5 1452 614
479436 DESIXJ11505833-0022047 177.743023 -0.367980 0.0426 181 3 -1568 315
480249 DESIXJ16265778+2707486 246.740742 27.130157 0.0776 184 4 259 693
483379 DESIXJ22344434+1258172 338.684741 12.971435 0.1277 213 2 8736 906
483617 DESIXJ15081665+2218123 227.069354 22.303410 0.0953 152 3 9378 893
486331 DESIXJ12121788+6049054 183.074514 60.818161 0.0431 52 2 8076 755
486965 DESIXJ15013809-0030350 225.408696 -0.509724 0.0364 96 1 3425 222
486990 DESIXJ02033626-0029288 30.901099 -0.491322 0.0336 50 5 3963 1417
487320 DESIXJ14062075+0442134 211.586466 4.703725 0.0250 119 2 -1854 200
494301 DESIXJ16510942+0740356 252.789246 7.676558 0.0488 192 0 -1515 209
497118 DESIXJ22270497+3046204 336.770713 30.772332 0.0453 102 1 5175 357
501743 DESIXJ09191234-0822592 139.801410 -8.383105 0.0543 185 1 -4002 306
503922 DESIXJ09593648-0019184 149.902011 -0.321767 0.0469 40 5 13247 2397
505841 DESIXJ00250473+1248442 6.269697 12.812283 0.1381 331 6 -11042 1244
506788 DESIXJ09102462-0130299 137.602583 -1.508293 0.0286 57 2 3314 479
506835 DESIXJ21392695-0312515 324.862280 -3.214292 0.0853 72 4 33998 2056
508684 DESIXJ18312356+5034394 277.848169 50.577607 0.0367 143 11 4337 1085
509368 DESIXJ16412360+0545278 250.348344 5.757727 0.0316 100 3 2594 487
510141 DESIXJ08324786-0012384 128.199402 -0.210662 0.0422 196 2 -5058 292
513888 DESIXJ17580143+4831593 269.505947 48.533128 0.0615 75 2 20276 832
514423 DESIXJ20554462+0146104 313.935913 1.769568 0.0479 129 5 1835 733
519242 DESIXJ09565619-0437191 149.234112 -4.621967 0.0869 115 2 16502 672
523916 DESIXJ10034936-0336579 150.955661 -3.616094 0.0620 80 5 14159 1571
524215 DESIXJ12244024+5810044 186.167663 58.167892 0.0437 223 2 -3364 367
524577 DESIXJ04214032-0332268 65.417984 -3.540780 0.0415 153 4 1549 486
526057 DESIXJ10215247-0529004 155.468626 -5.483447 0.0389 152 4 -2874 431
526626 DESIXJ14133996+0835308 213.416505 8.591878 0.0357 115 1 769 262
530182 DESIXJ15020351+0150287 225.514641 1.841308 0.0041 81 2 -750 53
535566 DESIXJ10010677+0005058 150.278202 0.084950 0.0868 101 4 22638 1542
539879 DESIXJ11222120+0836496 170.588347 8.613778 0.0283 176 5 -3513 360
542805 DESIXJ14460936+3847178 221.538979 38.788268 0.0282 87 1 2832 276
543711 DESIXJ16442309+2024467 251.096189 20.412965 0.0609 207 3 1947 461
546072 DESIXJ15311756+0701103 232.823159 7.019516 0.0342 53 8 10333 2140
546802 DESIXJ08484562+0017293 132.190098 0.291470 0.0530 57 2 27173 991
547971 DESIXJ14051055-0143068 211.293943 -1.718565 0.0542 100 1 8652 342
548489 DESIXJ15365650+3120547 234.235404 31.348524 0.0886 174 4 -1962 921
548576 DESIXJ12492300-0228322 192.345845 -2.475623 0.1569 278 13 683 2838
550493 DESIXJ03521985-0550447 58.082717 -5.845745 0.0334 84 8 3195 1331
554790 DESIXJ11542367+0240154 178.598633 2.670941 0.0772 137 4 -2922 1079
556104 DESIXJ13170340-0155054 199.264152 -1.918179 0.0476 73 3 7490 779
557445 DESIXJ14485708-0205333 222.237846 -2.092588 0.0345 182 8 3663 708
559795 DESIXJ11570707-0220362 179.279478 -2.343381 0.0260 155 3 -4652 268
560667 DESIXJ12280928+6306178 187.038661 63.104934 0.1442 272 5 -4613 1309
561366 DESIXJ07451087+2911535 116.295307 29.198198 0.0268 32 1 5608 406
561501 DESIXJ13011541-0115181 195.314212 -1.255039 0.0836 175 3 2276 827
562601 DESIXJ12425427+5123334 190.726107 51.392609 0.0435 87 2 -2581 585
563074 DESIXJ13320675+0031023 203.028119 0.517319 0.0474 128 1 358 277
564445 DESIXJ13514382-0221133 207.932574 -2.353696 0.0746 202 3 1228 574
567724 DESIXJ11432869+0323192 175.869543 3.388676 0.0252 170 4 -1094 272
571914 DESIXJ16063494+2622136 241.645603 26.370450 0.0333 160 0 -1694 162
572145 DESIXJ12322026+6246005 188.084428 62.766802 0.0614 51 0 19756 546
573536 DESIXJ15251937+3334597 231.330703 33.583260 0.0644 183 1 -192 712
575248 DESIXJ13283256-0056004 202.135656 -0.933438 0.0549 118 2 2750 531
575631 DESIXJ12233745+0040303 185.906037 0.675095 0.1124 278 7 -8143 1282
576526 DESIXJ15510435+0943572 237.768126 9.732549 0.0408 181 3 -530 352
577283 DESIXJ11025776-0057436 165.740652 -0.962123 0.0335 81 2 7259 384
577900 DESIXJ14150429+0613246 213.767895 6.223490 0.0242 20 3 12870 1489
578188 DESIXJ15460751+2943589 236.531310 29.733026 0.0316 102 5 -1820 628
581364 DESIXJ21163060+0018198 319.127484 0.305508 0.0352 155 3 638 323
584208 DESIXJ09283132+7356509 142.130506 73.947483 0.0623 179 2 -918 419
585025 DESIXJ09545718-0358149 148.738230 -3.970807 0.0569 170 1 -98 332
595015 DESIXJ08265371+0001364 126.723783 0.026785 0.0552 244 1 4658 275
596356 DESIXJ11021499-0158508 165.562468 -1.980780 0.0184 122 12 -3488 746
597134 DESIXJ10041970-0442031 151.082081 -4.700857 0.0337 142 0 -1354 158
