SGA_ID,Predicted_Type_spiral,Predicted_Type_elliptical,Predicted_Type_irregular,Predicted_Type_lenticular,Predicted_Type
1183691.0,Other,Other,Irregular,Other,Irregular
1183663.0,Spiral,Other,Other,Other,Spiral
1183660.0,Spiral,Other,Other,Other,Spiral
1183562.0,Spiral,Other,Other,Other,Spiral
1183543.0,Spiral,Other,Other,Other,Spiral
1183534.0,Other,Other,Irregular,Other,Irregular
1183515.0,Spiral,Other,Other,Other,Spiral
1183493.0,Other,Other,Irregular,Other,Irregular
1183223.0,Spiral,Other,Other,Other,Spiral
1183270.0,Other,Other,Irregular,Other,Irregular
1183279.0,Spiral,Other,Other,Other,Spiral
1183304.0,Spiral,Other,Other,Other,Spiral
1183726.0,Spiral,Other,Other,Other,Spiral
1183366.0,Spiral,Other,Other,Other,Spiral
1183412.0,Spiral,Other,Other,Other,Spiral
1183422.0,Other,Other,Irregular,Other,Irregular
1183477.0,Spiral,Other,Other,Other,Spiral
1183484.0,Other,Other,Irregular,Other,Irregular
1183382.0,Spiral,Other,Other,Other,Spiral
1183182.0,Other,Other,Irregular,Other,Irregular
1183747.0,Spiral,Other,Other,Other,Spiral
1183814.0,Spiral,Other,Other,Other,Spiral
1184419.0,Spiral,Other,Other,Other,Spiral
1184406.0,Spiral,Other,Other,Other,Spiral
1184394.0,Spiral,Other,Other,Other,Spiral
1184249.0,Spiral,Other,Other,Other,Spiral
1184247.0,Spiral,Other,Other,Other,Spiral
1184239.0,Spiral,Other,Other,Other,Spiral
1184152.0,Spiral,Other,Other,Other,Spiral
1184135.0,Spiral,Other,Other,Other,Spiral
1184064.0,Spiral,Other,Other,Other,Spiral
1184048.0,Spiral,Other,Other,Other,Spiral
1184046.0,Spiral,Other,Other,Other,Spiral
1183990.0,Spiral,Other,Other,Other,Spiral
1183989.0,Spiral,Other,Other,Other,Spiral
1183827.0,Spiral,Other,Other,Other,Spiral
1183837.0,Spiral,Other,Other,Other,Spiral
1183842.0,Spiral,Other,Other,Other,Spiral
1183847.0,Other,Other,Irregular,Other,Irregular
1183861.0,Other,Other,Irregular,Other,Irregular
1183800.0,Other,Other,Irregular,Other,Irregular
1183877.0,Spiral,Other,Other,Other,Spiral
1183919.0,Spiral,Other,Other,Other,Spiral
1183943.0,Spiral,Other,Other,Other,Spiral
1183986.0,Spiral,Other,Other,Other,Spiral
1183084.0,Spiral,Other,Other,Other,Spiral
1182273.0,Spiral,Other,Other,Other,Spiral
1182244.0,Other,Other,Irregular,Other,Irregular
1182190.0,Spiral,Other,Other,Other,Spiral
1182180.0,Spiral,Other,Other,Other,Spiral
1182171.0,Other,Other,Irregular,Other,Irregular
1182156.0,Other,Other,Irregular,Other,Irregular
1181978.0,Spiral,Other,Other,Other,Spiral
1181910.0,Spiral,Other,Other,Other,Spiral
1181894.0,Other,Other,Irregular,Other,Irregular
1181880.0,Other,Other,Irregular,Other,Irregular
1181869.0,Spiral,Other,Other,Other,Spiral
1181825.0,Spiral,Other,Other,Other,Spiral
1181318.0,Other,Other,Irregular,Other,Irregular
1181386.0,Other,Other,Irregular,Other,Irregular
1181444.0,Spiral,Other,Other,Other,Spiral
1181446.0,Spiral,Other,Other,Other,Spiral
1181462.0,Other,Other,Irregular,Other,Irregular
1181588.0,Spiral,Other,Other,Other,Spiral
1181663.0,Spiral,Other,Other,Other,Spiral
1181712.0,Spiral,Other,Other,Other,Spiral
1181464.0,Spiral,Other,Other,Other,Spiral
1183087.0,Other,Other,Irregular,Other,Irregular
1182285.0,Other,Other,Irregular,Other,Irregular
1183069.0,Spiral,Other,Other,Other,Spiral
1183062.0,Spiral,Other,Other,Other,Spiral
1183049.0,Spiral,Other,Other,Other,Spiral
1183028.0,Other,Other,Irregular,Other,Irregular
1182924.0,Spiral,Other,Other,Other,Spiral
1182875.0,Other,Other,Irregular,Other,Irregular
1182870.0,Spiral,Other,Other,Other,Spiral
1182821.0,Spiral,Other,Other,Other,Spiral
1182800.0,Other,Other,Irregular,Other,Irregular
1182798.0,Spiral,Other,Other,Other,Spiral
1182726.0,Other,Other,Irregular,Other,Irregular
1182663.0,Other,Other,Irregular,Other,Irregular
1182414.0,Spiral,Other,Other,Other,Spiral
1182445.0,Spiral,Other,Other,Other,Spiral
1182466.0,Spiral,Other,Other,Other,Spiral
1182328.0,Spiral,Other,Other,Other,Spiral
1182523.0,Spiral,Other,Other,Other,Spiral
1182552.0,Spiral,Other,Other,Other,Spiral
1182617.0,Spiral,Other,Other,Other,Spiral
1182651.0,Spiral,Other,Other,Other,Spiral
1182540.0,Other,Other,Irregular,Other,Irregular
1177503.0,Spiral,Other,Other,Other,Spiral
1177468.0,Spiral,Other,Other,Other,Spiral
1177451.0,Other,Other,Irregular,Other,Irregular
1173107.0,Spiral,Other,Other,Other,Spiral
1173085.0,Spiral,Other,Other,Other,Spiral
1173081.0,Spiral,Other,Other,Other,Spiral
1173077.0,Other,Other,Irregular,Other,Irregular
1173057.0,Spiral,Other,Other,Other,Spiral
1172903.0,Other,Other,Irregular,Other,Irregular
1172902.0,Other,Other,Irregular,Other,Irregular
1172888.0,Spiral,Other,Other,Other,Spiral
1172822.0,Other,Other,Irregular,Other,Irregular
1172794.0,Spiral,Other,Other,Other,Spiral
1172782.0,Spiral,Other,Other,Other,Spiral
1172780.0,Spiral,Other,Other,Other,Spiral
1172623.0,Spiral,Other,Other,Other,Spiral
1172025.0,Other,Other,Irregular,Other,Irregular
1172102.0,Spiral,Other,Other,Other,Spiral
1172119.0,Spiral,Other,Other,Other,Spiral
1172215.0,Spiral,Other,Other,Other,Spiral
1173153.0,Spiral,Other,Other,Other,Spiral
1172236.0,Other,Other,Irregular,Other,Irregular
1172299.0,Spiral,Other,Other,Other,Spiral
1172311.0,Other,Other,Irregular,Other,Irregular
1172359.0,Spiral,Other,Other,Other,Spiral
1172427.0,Spiral,Other,Other,Other,Spiral
1172502.0,Spiral,Other,Other,Other,Spiral
