# RA DEC
5.72958 7.52556
5.7375 16.25805
5.74208 25.22167
5.77458 30.67667
5.7725 15.14694
5.78 20.66361
5.78625 13.87472
5.78917 35.15389
5.79 13.35306
5.78958 16.28278
5.79458 2.48639
5.80208 27.43583
5.81083 14.81417
5.81833 20.26889
5.81375 11.31333
5.83625 1.8425
5.85125 15.60944
5.88083 35.18084
5.8975 15.23111
5.91333 6.66944
5.91875 15.07333
5.93458 31.24806
5.93708 16.0625
5.93458 3.77917
5.93625 14.31
5.93708 5.76611
5.95125 14.68028
5.97167 30.85611
5.97 16.20028
5.97917 28.33167
5.98458 30.78944
5.98667 24.30528
5.98917 25.17028
6.00208 15.77333
6.00583 24.09333
6.01042 25.665
6.00458 16.48889
6.02917 5.93111
6.04083 15.99639
6.06375 29.13778
6.07167 2.035
6.09417 10.10028
6.09583 17.40194
6.10458 14.07361
6.11292 6.73194
6.13042 21.06944
6.13167 15.59389
6.13083 14.39722
6.15542 31.63556
6.15542 29.29056
6.155 33.25195
6.16833 1.72583
6.18583 21.10417
6.18042 14.8225
6.19458 29.55722
6.19417 7.32833
6.22583 6.51611
6.2475 25.69639
6.25417 14.06444
6.25333 13.57972
6.26 13.45028
6.2675 31.35028
6.2725 14.37194
6.27375 6.44389
6.28208 6.48972
6.30958 30.0375
6.31125 31.23528
6.32125 22.61778
6.31708 10.09917
6.31708 12.88444
6.31917 12.89528
6.3275 8.54639
6.33542 6.90167
6.34125 6.70417
6.34958 15.55194
6.36667 20.23528
6.36917 21.59945
6.37292 13.68611
6.37833 24.8075
6.38292 25.94806
6.39083 0.84944
6.39792 12.39472
6.40583 14.11222
6.415 6.91722
6.42625 29.57389
6.44708 5.42528
6.45625 15.50944
6.49542 13.91167
6.49208 23.92167
6.49667 23.76
6.4975 23.78528
6.49667 14.34972
6.50125 29.20722
6.5025 15.65778
6.50292 16.03278
6.50583 6.87667
6.51625 29.28361
6.51958 21.79639
6.51625 34.47611
6.52958 25.71889
6.52458 16.43333
6.53917 13.65
6.53875 12.80611
6.54083 9.98
6.56917 29.81944
6.56583 1.62917
6.57292 15.48806
6.57208 0.105
6.57208 3.09639
6.59208 24.64194
6.60042 1.02806
6.60833 25.51917
6.60708 11.26111
6.615 13.75
6.6225 21.09833
6.61833 6.31861
6.65958 36.00417
6.66 13.36139
6.66792 15.39528
6.70417 31.70056
6.72083 25.81695
6.74292 14.05639
6.76208 11.57944
6.77667 24.42333
6.78083 24.98722
6.7775 10.65667
6.7875 13.14361
6.79042 0.92278
6.81167 23.86083
6.80625 9.59417
6.80708 10.08472
6.81667 20.06833
6.815 7.19139
6.82375 24.16972
6.85875 31.26444
6.86417 23.72167
6.88 30.995
6.88542 10.67528
6.89333 20.82167
6.8925 3.22194
6.89625 8.88528
6.91917 10.52556
6.92583 31.27139
6.92042 10.44194
6.92958 30.65417
6.94542 2.64639
6.95083 14.48028
6.96333 3.48667
6.97167 14.00167
6.98292 29.60306
6.98625 32.775
6.99625 2.50861
6.99917 4.54889
7.015 14.29306
7.02333 24.35139
7.01625 6.22694
7.02667 25.99806
7.02042 2.61778
7.04833 12.04611
7.05375 26.21
7.05667 30.80305
7.05375 3.23389
7.06792 13.82028
7.06917 21.46833
7.06958 31.20528
7.07958 3.3825
7.08292 2.86889
7.08958 27.36639
7.08708 2.53333
7.09542 3.38528
7.10875 2.6425
7.11417 5.00306
7.14042 31.15722
7.13917 33.275
7.155 3.29389
7.16292 30.70945
7.15667 2.95472
7.18042 5.86472
7.17792 8.10028
7.20625 32.17445
7.20292 13.54639
7.2025 2.29083
7.20667 9.29639
7.21792 2.84639
7.22458 10.18444
7.23417 2.30556
7.23875 11.3225
7.23667 12.97417
7.26333 31.005
7.2675 11.815
7.28542 15.89944
7.28333 13.77139
7.29792 33.10361
7.31458 25.41194
7.31667 13.34639
7.33458 0.90667
7.35375 31.37194
7.36417 27.17861
7.365 30.56695
7.37625 30.22861
7.38708 35.45555
7.38375 15.39972
7.41208 27.0275
7.4075 0.40889
7.42167 30.03917
7.41667 11.5975
7.4375 21.46778
7.44667 27.20333
7.45167 1.85917
7.45792 9.35806
7.46792 31.38639
7.465 13.60695
7.4725 24.73278
7.4825 7.56472
7.5125 26.57028
7.51542 3.51417
7.54125 30.68667
7.5475 2.09528
7.55458 25.84
7.56958 24.3
7.57375 23.89278
7.57875 6.32861
7.59708 31.19389
7.60958 25.13861
7.61333 26.64611
